Date,Year,Month,Bank_Rate,CPI,Unemployment_Rate,House_Price_Index,GDP_Growth,Current_Accounts,Savings_Accounts,Mortgage_Approvals,Net_Consumer_Credit,Credit_Card_Lending,Consumer_Credit
2008-01,2008,January,5.5,2.2,5.2,65.6,0.4,33417,224159,71326,288,183,105
2008-02,2008,February,5.25,2.5,5.2,65,0.4,31492,226772,71064,1200,363,837
2008-03,2008,March,5.25,2.5,5.3,64.5,0.4,32823,227769,60454,432,319,113
2008-04,2008,April,5,3,5.2,64.7,-0.5,31895,233766,57134,514,179,335
2008-05,2008,May,5,3.3,5.4,65.1,-0.5,32210,237820,40546,370,752,-382
2008-06,2008,June,5,3.8,5.5,64.2,-0.5,33348,241184,35391,81,465,-384
2008-07,2008,July,5,4.4,5.7,63.5,-1.6,46071,245638,33021,330,283,47
2008-08,2008,August,5,4.7,5.9,62.2,-1.6,44578,249257,32657,300,562,-262
2008-09,2008,September,5,5.2,6,60.6,-1.6,48091,251283,32286,-323,416,-739
2008-10,2008,October,4.5,4.5,6.2,59.4,-2.1,44654,258974,31597,122,300,-178
2008-11,2008,November,3,4.1,6.4,57.7,-2.1,43754,264624,26371,28,279,-251
2008-12,2008,December,2,3.1,6.5,56.8,-2.1,44911,266843,31626,-222,92,-314
2009-01,2009,January,1.5,3,6.7,55.5,-2,49783,265351,32389,-37,377,-414
2009-02,2009,February,1,3.2,7.1,54.9,-2,50078,265626,40782,208,154,54
2009-03,2009,March,0.5,2.9,7.3,54.5,-2,58448,265971,42120,-678,281,-959
2009-04,2009,April,0.5,2.3,7.6,55,-0.3,60474,268788,45456,-221,243,-464
2009-05,2009,May,0.5,2.2,7.8,55.8,-0.3,60694,269145,47650,-363,135,-498
2009-06,2009,June,0.5,1.8,7.9,56.3,-0.3,62023,269372,50455,-236,219,-455
2009-07,2009,July,0.5,1.8,7.9,57.3,0.1,66160,266592,53421,-448,13,-461
2009-08,2009,August,0.5,1.6,7.8,57.9,0.1,68100,265766,52563,-1398,185,-1583
2009-09,2009,September,0.5,1.1,7.9,58.4,0.1,68066,265171,55616,-265,119,-384
2009-10,2009,October,0.5,1.5,7.8,58.8,0.3,68508,265618,55939,-624,127,-751
2009-11,2009,November,0.5,1.9,7.8,58.9,0.3,69062,263299,57265,-487,285,-772
2009-12,2009,December,0.5,2.9,7.7,59.3,0.3,81230,263818,58008,-160,282,-442
2010-01,2010,January,0.5,3.5,7.9,59.1,0.8,76357,264824,46526,-230,119,-349
2010-02,2010,February,0.5,3,8,59.3,0.8,77062,266164,47866,-761,337,-1098
2010-03,2010,March,0.5,3.4,8,59.3,0.8,78067,267539,49160,-406,182,-588
2010-04,2010,April,0.5,3.7,7.9,60,1.1,78372,267541,50241,-642,55,-697
2010-05,2010,May,0.5,3.4,7.9,60.3,1.1,79024,266829,49996,-330,101,-431
2010-06,2010,June,0.5,3.2,7.8,60.6,1.1,78164,267469,49519,-350,98,-448
2010-07,2010,July,0.5,3.1,7.8,61.2,0.6,77010,267105,48689,-283,187,-470
2010-08,2010,August,0.5,3.1,7.8,61.2,0.6,78071,268514,47345,-694,262,-956
2010-09,2010,September,0.5,3.1,7.9,61.1,0.6,78703,270053,46751,-548,56,-604
2010-10,2010,October,0.5,3.2,7.9,60.4,0.1,93143,269273,46925,-51,244,-295
2010-11,2010,November,0.5,3.3,7.9,59.7,0.1,98501,272210,46127,-294,163,-457
2010-12,2010,December,0.5,3.7,7.9,59.6,0.1,105537,272710,41696,426,42,384
2011-01,2011,January,0.5,4,7.8,59.1,0.2,109563,274113,42881,-762,165,-927
2011-02,2011,February,0.5,4.4,7.8,58.7,0.2,108576,275155,47553,-160,109,-269
2011-03,2011,March,0.5,4,7.7,58.5,0.2,108915,275584,48277,-380,37,-417
2011-04,2011,April,0.5,4.5,7.8,59.4,0,108419,275950,46157,43,480,-437
2011-05,2011,May,0.5,4.5,7.9,59.1,0,108597,277421,47040,-486,95,-581
2011-06,2011,June,0.5,4.2,8,59.2,0,107426,278182,49334,9,94,-85
2011-07,2011,July,0.5,4.4,8.2,60,0.2,108473,278915,50940,-426,240,-666
2011-08,2011,August,0.5,4.5,8.3,60,0.2,108190,279499,52939,186,15,171
2011-09,2011,September,0.5,5.2,8.4,59.9,0.2,109924,279683,50846,-385,135,-520
2011-10,2011,October,0.5,5,8.5,59.2,0.1,109838,278283,51719,-53,77,-130
2011-11,2011,November,0.5,4.8,8.4,59.2,0.1,108688,278965,52126,172,-125,297
2011-12,2011,December,0.5,4.2,8.3,59,0.1,111103,279964,51620,-565,-27,-538
2012-01,2012,January,0.5,3.6,8.3,58.6,0.9,113190,281880,55572,-258,39,-297
2012-02,2012,February,0.5,3.4,8.2,58.4,0.9,113130,283373,50454,-175,-188,13
2012-03,2012,March,0.5,3.5,8.2,58.6,0.9,114807,284798,51196,-24,300,-324
2012-04,2012,April,0.5,3,8.1,59.3,-0.1,114056,285965,51930,-48,-75,27
2012-05,2012,May,0.5,2.8,8,59.4,-0.1,113532,286471,49357,144,33,111
2012-06,2012,June,0.5,2.4,8,60,-0.1,114678,285325,47812,75,340,-265
2012-07,2012,July,0.5,2.6,7.9,60.3,1,115828,287030,47262,-69,-157,88
2012-08,2012,August,0.5,2.5,7.8,60.3,1,117408,286378,48101,-186,20,-206
2012-09,2012,September,0.5,2.2,7.8,60.1,1,116176,285576,50329,472,424,48
2012-10,2012,October,0.5,2.7,7.8,59.7,-0.1,115949,284741,52314,36,-142,178
2012-11,2012,November,0.5,2.7,7.8,59.7,-0.1,117752,282450,53054,-111,89,-200
2012-12,2012,December,0.5,2.7,7.8,59.6,-0.1,118296,280146,54557,945,446,499
2013-01,2013,January,0.5,2.7,8,59.2,0.3,118314,276394,52210,420,18,402
2013-02,2013,February,0.5,2.8,7.8,59.2,0.3,119381,272996,52589,337,259,78
2013-03,2013,March,0.5,2.8,7.8,59.5,0.3,120160,271335,54528,286,192,94
2013-04,2013,April,0.5,2.4,7.7,60.1,0.7,121325,268105,56014,449,181,268
2013-05,2013,May,0.5,2.7,7.7,60.4,0.7,121300,265147,59137,328,300,28
2013-06,2013,June,0.5,2.9,7.7,61,0.7,122943,261041,58885,142,357,-215
2013-07,2013,July,0.5,2.8,7.7,61.6,0.8,125572,258826,60737,585,47,538
