Date,GDP
Jan-95,0.5
Feb-95,0.5
Mar-95,0.5
Apr-95,0.2
May-95,0.2
Jun-95,0.2
Jul-95,1.1
Aug-95,1.1
Sep-95,1.1
Oct-95,0.3
Nov-95,0.3
Dec-95,0.3
Jan-96,0.7
Feb-96,0.7
Mar-96,0.7
Apr-96,0.3
May-96,0.3
Jun-96,0.3
Jul-96,0.9
Aug-96,0.9
Sep-96,0.9
Oct-96,1.3
Nov-96,1.3
Dec-96,1.3
Jan-97,1.6
Feb-97,1.6
Mar-97,1.6
Apr-97,1.1
May-97,1.1
Jun-97,1.1
Jul-97,0.9
Aug-97,0.9
Sep-97,0.9
Oct-97,1.5
Nov-97,1.5
Dec-97,1.5
Jan-98,0.7
Feb-98,0.7
Mar-98,0.7
Apr-98,0.6
May-98,0.6
Jun-98,0.6
Jul-98,0.2
Aug-98,0.2
Sep-98,0.2
Oct-98,0.7
Nov-98,0.7
Dec-98,0.7
Jan-99,0.7
Feb-99,0.7
Mar-99,0.7
Apr-99,0.4
May-99,0.4
Jun-99,0.4
Jul-99,1.7
Aug-99,1.7
Sep-99,1.7
Oct-99,1.6
Nov-99,1.6
Dec-99,1.6
Jan-00,1.3
Feb-00,1.3
Mar-00,1.3
Apr-00,0.7
May-00,0.7
Jun-00,0.7
Jul-00,0.6
Aug-00,0.6
Sep-00,0.6
Oct-00,0.6
Nov-00,0.6
Dec-00,0.6
Jan-01,0.8
Feb-01,0.8
Mar-01,0.8
Apr-01,0.4
May-01,0.4
Jun-01,0.4
Jul-01,0.5
Aug-01,0.5
Sep-01,0.5
Oct-01,0.3
Nov-01,0.3
Dec-01,0.3
Jan-02,0.3
Feb-02,0.3
Mar-02,0.3
Apr-02,0.5
May-02,0.5
Jun-02,0.5
Jul-02,0.6
Aug-02,0.6
Sep-02,0.6
Oct-02,0.7
Nov-02,0.7
Dec-02,0.7
Jan-03,0.8
Feb-03,0.8
Mar-03,0.8
Apr-03,0.9
May-03,0.9
Jun-03,0.9
Jul-03,1
Aug-03,1
Sep-03,1
Oct-03,0.8
Nov-03,0.8
Dec-03,0.8
Jan-04,0.3
Feb-04,0.3
Mar-04,0.3
Apr-04,0.5
May-04,0.5
Jun-04,0.5
Jul-04,0.4
Aug-04,0.4
Sep-04,0.4
Oct-04,0.5
Nov-04,0.5
Dec-04,0.5
Jan-05,0.8
Feb-05,0.8
Mar-05,0.8
Apr-05,0.8
May-05,0.8
Jun-05,0.8
Jul-05,0.9
Aug-05,0.9
Sep-05,0.9
Oct-05,1
Nov-05,1
Dec-05,1
Jan-06,0.4
Feb-06,0.4
Mar-06,0.4
Apr-06,0.3
May-06,0.3
Jun-06,0.3
Jul-06,0.2
Aug-06,0.2
Sep-06,0.2
Oct-06,0.4
Nov-06,0.4
Dec-06,0.4
Jan-07,1.1
Feb-07,1.1
Mar-07,1.1
Apr-07,0.9
May-07,0.9
Jun-07,0.9
Jul-07,0.9
Aug-07,0.9
Sep-07,0.9
Oct-07,0.8
Nov-07,0.8
Dec-07,0.8
Jan-08,0.4
Feb-08,0.4
Mar-08,0.4
Apr-08,-0.5
May-08,-0.5
Jun-08,-0.5
Jul-08,-1.6
Aug-08,-1.6
Sep-08,-1.6
Oct-08,-2.1
Nov-08,-2.1
Dec-08,-2.1
Jan-09,-2
Feb-09,-2
Mar-09,-2
Apr-09,-0.3
May-09,-0.3
Jun-09,-0.3
Jul-09,0.1
Aug-09,0.1
Sep-09,0.1
Oct-09,0.3
Nov-09,0.3
Dec-09,0.3
Jan-10,0.8
Feb-10,0.8
Mar-10,0.8
Apr-10,1.1
May-10,1.1
Jun-10,1.1
Jul-10,0.6
Aug-10,0.6
Sep-10,0.6
Oct-10,0.1
Nov-10,0.1
Dec-10,0.1
Jan-11,0.2
Feb-11,0.2
Mar-11,0.2
Apr-11,0
May-11,0
Jun-11,0
Jul-11,0.2
Aug-11,0.2
Sep-11,0.2
Oct-11,0.1
Nov-11,0.1
Dec-11,0.1
Jan-12,0.9
Feb-12,0.9
Mar-12,0.9
Apr-12,-0.1
May-12,-0.1
Jun-12,-0.1
Jul-12,1
Aug-12,1
Sep-12,1
Oct-12,-0.1
Nov-12,-0.1
Dec-12,-0.1
Jan-13,0.3
Feb-13,0.3
Mar-13,0.3
Apr-13,0.7
May-13,0.7
Jun-13,0.7
Jul-13,0.8
Aug-13,0.8
Sep-13,0.8
Oct-13,0.7
Nov-13,0.7
Dec-13,0.7
Jan-14,0.8
Feb-14,0.8
Mar-14,0.8
Apr-14,0.9
May-14,0.9
Jun-14,0.9
Jul-14,0.8
Aug-14,0.8
Sep-14,0.8
Oct-14,0.7
Nov-14,0.7
Dec-14,0.7
Jan-15,0.3
Feb-15,0.3
Mar-15,0.3
Apr-15,0.5
May-15,0.5
Jun-15,0.5
Jul-15,0.4
Aug-15,0.4
Sep-15,0.4
Oct-15,0.6
Nov-15,0.6
Dec-15,0.6
Jan-16,0.5
Feb-16,0.5
Mar-16,0.5
Apr-16,0.7
May-16,0.7
Jun-16,0.7
