Date,Rate
01-Feb-95,6.63
01-Mar-95,6.63
01-Apr-95,6.63
01-May-95,6.63
01-Jun-95,6.63
01-Jul-95,6.63
01-Aug-95,6.63
01-Sep-95,6.63
01-Oct-95,6.63
01-Nov-95,6.63
01-Dec-95,6.38
01-Jan-96,6.13
01-Feb-96,6.13
01-Mar-96,5.94
01-Apr-96,5.94
01-May-96,5.94
01-Jun-96,5.69
01-Jul-96,5.69
01-Aug-96,5.69
01-Sep-96,5.69
01-Oct-96,5.94
01-Nov-96,5.94
01-Dec-96,5.94
01-Jan-97,5.94
01-Feb-97,5.94
01-Mar-97,5.94
01-Apr-97,5.94
01-May-97,6.25
01-Jun-97,6.5
01-Jul-97,6.75
01-Aug-97,7
01-Sep-97,7
01-Oct-97,7
01-Nov-97,7.25
01-Dec-97,7.25
01-Jan-98,7.25
01-Feb-98,7.25
01-Mar-98,7.25
01-Apr-98,7.25
01-May-98,7.25
01-Jun-98,7.5
01-Jul-98,7.5
01-Aug-98,7.5
01-Sep-98,7.5
01-Oct-98,7.25
01-Nov-98,6.75
01-Dec-98,6.25
01-Jan-99,6
01-Feb-99,5.5
01-Mar-99,5.5
01-Apr-99,5.25
01-May-99,5.25
01-Jun-99,5
01-Jul-99,5
01-Aug-99,5
01-Sep-99,5.25
01-Oct-99,5.25
01-Nov-99,5.5
01-Dec-99,5.5
01-Jan-00,5.75
01-Feb-00,6
01-Mar-00,6
01-Apr-00,6
01-May-00,6
01-Jun-00,6
01-Jul-00,6
01-Aug-00,6
01-Sep-00,6
01-Oct-00,6
01-Nov-00,6
01-Dec-00,6
01-Jan-01,6
01-Feb-01,5.75
01-Mar-01,5.75
01-Apr-01,5.5
01-May-01,5.25
01-Jun-01,5.25
01-Jul-01,5.25
01-Aug-01,5
01-Sep-01,4.75
01-Oct-01,4.5
01-Nov-01,4
01-Dec-01,4
01-Jan-02,4
01-Feb-02,4
01-Mar-02,4
01-Apr-02,4
01-May-02,4
01-Jun-02,4
01-Jul-02,4
01-Aug-02,4
01-Sep-02,4
01-Oct-02,4
01-Nov-02,4
01-Dec-02,4
01-Jan-03,4
01-Feb-03,3.75
01-Mar-03,3.75
01-Apr-03,3.75
01-May-03,3.75
01-Jun-03,3.75
01-Jul-03,3.5
01-Aug-03,3.5
01-Sep-03,3.5
01-Oct-03,3.5
01-Nov-03,3.75
01-Dec-03,3.75
01-Jan-04,3.75
01-Feb-04,4
01-Mar-04,4
01-Apr-04,4
01-May-04,4.25
01-Jun-04,4.5
01-Jul-04,4.5
01-Aug-04,4.75
01-Sep-04,4.75
01-Oct-04,4.75
01-Nov-04,4.75
01-Dec-04,4.75
01-Jan-05,4.75
01-Feb-05,4.75
01-Mar-05,4.75
01-Apr-05,4.75
01-May-05,4.75
01-Jun-05,4.75
01-Jul-05,4.75
01-Aug-05,4.5
01-Sep-05,4.5
01-Oct-05,4.5
01-Nov-05,4.5
01-Dec-05,4.5
01-Jan-06,4.5
01-Feb-06,4.5
01-Mar-06,4.5
01-Apr-06,4.5
01-May-06,4.5
01-Jun-06,4.5
01-Jul-06,4.5
01-Aug-06,4.75
01-Sep-06,4.75
01-Oct-06,4.75
01-Nov-06,5
01-Dec-06,5
01-Jan-07,5.25
01-Feb-07,5.25
01-Mar-07,5.25
01-Apr-07,5.25
01-May-07,5.5
01-Jun-07,5.5
01-Jul-07,5.75
01-Aug-07,5.75
01-Sep-07,5.75
01-Oct-07,5.75
01-Nov-07,5.75
01-Dec-07,5.5
01-Jan-08,5.5
01-Feb-08,5.25
01-Mar-08,5.25
01-Apr-08,5
01-May-08,5
01-Jun-08,5
01-Jul-08,5
01-Aug-08,5
01-Sep-08,5
01-Oct-08,4.5
01-Nov-08,3
01-Dec-08,2
01-Jan-09,1.5
01-Feb-09,1
01-Mar-09,0.5
01-Apr-09,0.5
01-May-09,0.5
01-Jun-09,0.5
01-Jul-09,0.5
01-Aug-09,0.5
01-Sep-09,0.5
01-Oct-09,0.5
01-Nov-09,0.5
01-Dec-09,0.5
01-Jan-10,0.5
01-Feb-10,0.5
01-Mar-10,0.5
01-Apr-10,0.5
01-May-10,0.5
01-Jun-10,0.5
01-Jul-10,0.5
01-Aug-10,0.5
01-Sep-10,0.5
01-Oct-10,0.5
01-Nov-10,0.5
01-Dec-10,0.5
01-Jan-11,0.5
01-Feb-11,0.5
01-Mar-11,0.5
01-Apr-11,0.5
01-May-11,0.5
01-Jun-11,0.5
01-Jul-11,0.5
01-Aug-11,0.5
01-Sep-11,0.5
01-Oct-11,0.5
01-Nov-11,0.5
01-Dec-11,0.5
01-Jan-12,0.5
01-Feb-12,0.5
01-Mar-12,0.5
01-Apr-12,0.5
01-May-12,0.5
01-Jun-12,0.5
01-Jul-12,0.5
01-Aug-12,0.5
01-Sep-12,0.5
01-Oct-12,0.5
01-Nov-12,0.5
01-Dec-12,0.5
01-Jan-13,0.5
01-Feb-13,0.5
01-Mar-13,0.5
01-Apr-13,0.5
01-May-13,0.5
01-Jun-13,0.5
01-Jul-13,0.5
01-Aug-13,0.5
01-Sep-13,0.5
01-Oct-13,0.5
01-Nov-13,0.5
01-Dec-13,0.5
01-Jan-14,0.5
01-Feb-14,0.5
01-Mar-14,0.5
01-Apr-14,0.5
01-May-14,0.5
01-Jun-14,0.5
01-Jul-14,0.5
01-Aug-14,0.5
01-Sep-14,0.5
01-Oct-14,0.5
01-Nov-14,0.5
01-Dec-14,0.5
01-Jan-15,0.5
01-Feb-15,0.5
01-Mar-15,0.5
01-Apr-15,0.5
01-May-15,0.5
01-Jun-15,0.5
01-Jul-15,0.5
01-Aug-15,0.5
01-Sep-15,0.5
01-Oct-15,0.5
01-Nov-15,0.5
01-Dec-15,0.5
01-Jan-16,0.5
01-Feb-16,0.5
01-Mar-16,0.5
01-Apr-16,0.5
01-May-16,0.5
01-Jun-16,0.5
01-Jul-16,0.5
01-Aug-16,0.25
01-Sep-16,0.25
01-Oct-16,0.25
01-Nov-16,0.25
01-Dec-16,0.25
01-Jan-17,0.25
01-Feb-17,0.25
01-Mar-17,0.25
01-Apr-17,0.25
01-May-17,0.25
01-Jun-17,0.25
01-Jul-17,0.25
01-Aug-17,0.25
01-Sep-17,0.25
01-Oct-17,0.25
