Date,Monthly number of total sterling approvals for house purchase to individuals seasonally adjusted              [a] [b] [c]             LPMVTVX
31-Jan-95,78866
28-Feb-95,80654
31-Mar-95,74872
30-Apr-95,75112
31-May-95,70629
30-Jun-95,69017
31-Jul-95,73160
31-Aug-95,76305
30-Sep-95,73455
31-Oct-95,79413
30-Nov-95,79635
31-Dec-95,85655
31-Jan-96,83652
29-Feb-96,79517
31-Mar-96,84673
30-Apr-96,79685
31-May-96,85420
30-Jun-96,89812
31-Jul-96,89291
31-Aug-96,92304
30-Sep-96,96434
31-Oct-96,100087
30-Nov-96,101702
31-Dec-96,101396
31-Jan-97,106136
28-Feb-97,95397
31-Mar-97,98510
30-Apr-97,101988
31-May-97,103398
30-Jun-97,104856
31-Jul-97,104764
31-Aug-97,105163
30-Sep-97,87177
31-Oct-97,82722
30-Nov-97,87637
31-Dec-97,86156
31-Jan-98,84319
28-Feb-98,91848
31-Mar-98,88045
30-Apr-98,84227
31-May-98,87936
30-Jun-98,88965
31-Jul-98,88581
31-Aug-98,87145
30-Sep-98,83567
31-Oct-98,84757
30-Nov-98,82780
31-Dec-98,82806
31-Jan-99,80881
28-Feb-99,89725
31-Mar-99,92529
30-Apr-99,98176
31-May-99,97063
30-Jun-99,96200
31-Jul-99,98291
31-Aug-99,97782
30-Sep-99,98515
31-Oct-99,101108
30-Nov-99,93562
31-Dec-99,91574
31-Jan-00,82406
29-Feb-00,95834
31-Mar-00,96769
30-Apr-00,97570
31-May-00,94173
30-Jun-00,92598
31-Jul-00,89716
31-Aug-00,88380
30-Sep-00,93958
31-Oct-00,92195
30-Nov-00,95061
31-Dec-00,103402
31-Jan-01,98583
28-Feb-01,97836
31-Mar-01,102138
30-Apr-01,103082
31-May-01,107529
30-Jun-01,109602
31-Jul-01,113384
31-Aug-01,111297
30-Sep-01,103794
31-Oct-01,99392
30-Nov-01,100835
31-Dec-01,108970
31-Jan-02,120433
28-Feb-02,124808
31-Mar-02,123902
30-Apr-02,120155
31-May-02,119295
30-Jun-02,117599
31-Jul-02,115419
31-Aug-02,111264
30-Sep-02,116459
31-Oct-02,119859
30-Nov-02,120122
31-Dec-02,112518
31-Jan-03,107952
28-Feb-03,99847
31-Mar-03,96608
30-Apr-03,101136
31-May-03,99778
30-Jun-03,106099
31-Jul-03,114435
31-Aug-03,122874
30-Sep-03,128944
31-Oct-03,128814
30-Nov-03,131755
31-Dec-03,132788
31-Jan-04,127004
29-Feb-04,127590
31-Mar-04,122970
30-Apr-04,120011
31-May-04,121449
30-Jun-04,111134
31-Jul-04,99395
31-Aug-04,92880
30-Sep-04,86426
31-Oct-04,86333
30-Nov-04,73570
31-Dec-04,83449
31-Jan-05,81651
28-Feb-05,86264
31-Mar-05,91653
30-Apr-05,98404
31-May-05,94678
30-Jun-05,94514
31-Jul-05,98670
31-Aug-05,102842
30-Sep-05,103921
31-Oct-05,109570
30-Nov-05,111969
31-Dec-05,123204
31-Jan-06,119813
28-Feb-06,114046
31-Mar-06,117447
30-Apr-06,110709
31-May-06,115464
30-Jun-06,118499
31-Jul-06,117644
31-Aug-06,118465
30-Sep-06,123255
31-Oct-06,126182
30-Nov-06,125996
31-Dec-06,121228
31-Jan-07,118654
28-Feb-07,119052
31-Mar-07,114463
30-Apr-07,109294
31-May-07,114352
30-Jun-07,114221
31-Jul-07,112777
31-Aug-07,107739
30-Sep-07,99280
31-Oct-07,86336
30-Nov-07,79240
31-Dec-07,74451
31-Jan-08,71326
29-Feb-08,71064
31-Mar-08,60454
30-Apr-08,57134
31-May-08,40546
30-Jun-08,35391
31-Jul-08,33021
31-Aug-08,32657
30-Sep-08,32286
31-Oct-08,31597
30-Nov-08,26371
31-Dec-08,31626
31-Jan-09,32389
28-Feb-09,40782
31-Mar-09,42120
30-Apr-09,45456
31-May-09,47650
30-Jun-09,50455
31-Jul-09,53421
31-Aug-09,52563
30-Sep-09,55616
31-Oct-09,55939
30-Nov-09,57265
31-Dec-09,58008
31-Jan-10,46526
28-Feb-10,47866
31-Mar-10,49160
30-Apr-10,50241
31-May-10,49996
30-Jun-10,49519
31-Jul-10,48689
31-Aug-10,47345
30-Sep-10,46751
31-Oct-10,46925
30-Nov-10,46127
31-Dec-10,41696
31-Jan-11,42881
28-Feb-11,47553
31-Mar-11,48277
30-Apr-11,46157
31-May-11,47040
30-Jun-11,49334
31-Jul-11,50940
31-Aug-11,52939
30-Sep-11,50846
31-Oct-11,51719
30-Nov-11,52126
31-Dec-11,51620
31-Jan-12,55572
29-Feb-12,50454
31-Mar-12,51196
30-Apr-12,51930
31-May-12,49357
30-Jun-12,47812
31-Jul-12,47262
31-Aug-12,48101
30-Sep-12,50329
31-Oct-12,52314
30-Nov-12,53054
31-Dec-12,54557
31-Jan-13,52210
28-Feb-13,52589
31-Mar-13,54528
30-Apr-13,56014
31-May-13,59137
30-Jun-13,58885
31-Jul-13,60737
31-Aug-13,62777
30-Sep-13,67286
31-Oct-13,68504
30-Nov-13,70508
31-Dec-13,71853
31-Jan-14,74042
28-Feb-14,70102
31-Mar-14,68226
30-Apr-14,65163
31-May-14,62183
30-Jun-14,67793
31-Jul-14,66787
31-Aug-14,65438
30-Sep-14,62093
31-Oct-14,60409
30-Nov-14,59568
31-Dec-14,60159
31-Jan-15,58962
28-Feb-15,61473
31-Mar-15,62779
30-Apr-15,69009
31-May-15,65408
30-Jun-15,68077
31-Jul-15,70762
31-Aug-15,72262
30-Sep-15,71176
31-Oct-15,70076
30-Nov-15,70488
31-Dec-15,71270
31-Jan-16,72480
29-Feb-16,71872
31-Mar-16,70724
30-Apr-16,68709
31-May-16,67883
30-Jun-16,65573
31-Jul-16,62624
31-Aug-16,61427
30-Sep-16,64243
31-Oct-16,67909
30-Nov-16,68392
31-Dec-16,68366
31-Jan-17,68006
28-Feb-17,68139
31-Mar-17,68044
30-Apr-17,67102
31-May-17,66022
30-Jun-17,65378
31-Jul-17,68522
31-Aug-17,66885
30-Sep-17,66321
31-Oct-17,65208
30-Nov-17,65678
31-Dec-17,62311
31-Jan-18,65855
28-Feb-18,63000
31-Mar-18,63110
30-Apr-18,63309
31-May-18,65095
30-Jun-18,65901
31-Jul-18,64744
31-Aug-18,66769
30-Sep-18,65991
31-Oct-18,68257
30-Nov-18,64956
31-Dec-18,64429
31-Jan-19,65119
28-Feb-19,64153
31-Mar-19,62218
30-Apr-19,65896
31-May-19,65540
30-Jun-19,66570
31-Jul-19,67217
31-Aug-19,66013
30-Sep-19,66212
31-Oct-19,66356
30-Nov-19,66628
31-Dec-19,67602
31-Jan-20,69513
29-Feb-20,71609
31-Mar-20,56247
30-Apr-20,15936
31-May-20,9369
30-Jun-20,40299
31-Jul-20,66552
31-Aug-20,85159
30-Sep-20,92539
31-Oct-20,100895
30-Nov-20,107780
31-Dec-20,103386
31-Jan-21,97196
28-Feb-21,84509
31-Mar-21,81078
30-Apr-21,85391
31-May-21,86153
30-Jun-21,79149
31-Jul-21,72343
31-Aug-21,70895
30-Sep-21,70466
31-Oct-21,68333
30-Nov-21,69386
31-Dec-21,72810
31-Jan-22,74047
28-Feb-22,68333
31-Mar-22,68906
30-Apr-22,66065
31-May-22,66457
30-Jun-22,62797
31-Jul-22,62524
31-Aug-22,71925
30-Sep-22,64666
31-Oct-22,57790
30-Nov-22,46661
31-Dec-22,41520
31-Jan-23,39884
28-Feb-23,43016
31-Mar-23,51247
30-Apr-23,49011
31-May-23,51046
30-Jun-23,54416
31-Jul-23,49005
31-Aug-23,45047
30-Sep-23,43779
31-Oct-23,48004
30-Nov-23,50245
31-Dec-23,52595
31-Jan-24,56258
29-Feb-24,60121
31-Mar-24,61801
30-Apr-24,61785
31-May-24,61075
30-Jun-24,60812
31-Jul-24,62130
31-Aug-24,64744
30-Sep-24,65140
31-Oct-24,67686
30-Nov-24,65787
31-Dec-24,67098
31-Jan-25,66691
28-Feb-25,65238
31-Mar-25,64385
30-Apr-25,60510
31-May-25,62987
30-Jun-25,64095
31-Jul-25,64890
31-Aug-25,64468
30-Sep-25,65432
31-Oct-25,64561
30-Nov-25,64544
31-Dec-25,61626
