Yr_Month,Average price All property types,House price index All property types
1995 Jan,51067,19.6
1995 Feb,51067,19.6
1995 Mar,51067,19.6
1995 Apr,51617,19.8
1995 May,51617,19.8
1995 Jun,51617,19.8
1995 Jul,52066,20
1995 Aug,52066,20
1995 Sep,52066,20
1995 Oct,51367,19.7
1995 Nov,51367,19.7
1995 Dec,51367,19.7
1996 Jan,52116,20
1996 Feb,52116,20
1996 Mar,52116,20
1996 Apr,52166,20
1996 May,52166,20
1996 Jun,52166,20
1996 Jul,54215,20.8
1996 Aug,54215,20.8
1996 Sep,54215,20.8
1996 Oct,55164,21.1
1996 Nov,55164,21.1
1996 Dec,55164,21.1
1997 Jan,55914,21.4
1997 Feb,55914,21.4
1997 Mar,55914,21.4
1997 Apr,57063,21.9
1997 May,57063,21.9
1997 Jun,57063,21.9
1997 Jul,59961,23
1997 Aug,59961,23
1997 Sep,59961,23
1997 Oct,59511,22.8
1997 Nov,59511,22.8
1997 Dec,59511,22.8
1998 Jan,61010,23.4
1998 Feb,61010,23.4
1998 Mar,61010,23.4
1998 Apr,64258,24.6
1998 May,64258,24.6
1998 Jun,64258,24.6
1998 Jul,67057,25.7
1998 Aug,67057,25.7
1998 Sep,67057,25.7
1998 Oct,66757,25.6
1998 Nov,66757,25.6
1998 Dec,66757,25.6
1999 Jan,67157,25.7
1999 Feb,67157,25.7
1999 Mar,67157,25.7
1999 Apr,70005,26.8
1999 May,70005,26.8
1999 Jun,70005,26.8
1999 Jul,74102,28.4
1999 Aug,74102,28.4
1999 Sep,74102,28.4
1999 Oct,76001,29.1
1999 Nov,76001,29.1
1999 Dec,76001,29.1
2000 Jan,77950,29.9
2000 Feb,77950,29.9
2000 Mar,77950,29.9
2000 Apr,82197,31.5
2000 May,82197,31.5
2000 Jun,82197,31.5
2000 Jul,83746,32.1
2000 Aug,83746,32.1
2000 Sep,83746,32.1
2000 Oct,86244,33.1
2000 Nov,86244,33.1
2000 Dec,86244,33.1
2001 Jan,85794,32.9
2001 Feb,85794,32.9
2001 Mar,85794,32.9
2001 Apr,88892,34.1
2001 May,88892,34.1
2001 Jun,88892,34.1
2001 Jul,92090,35.3
2001 Aug,92090,35.3
2001 Sep,92090,35.3
2001 Oct,90242,34.6
2001 Nov,90242,34.6
2001 Dec,90242,34.6
2002 Jan,89928,34.5
2002 Feb,93190,35.7
2002 Mar,96451,37
2002 Apr,97756,37.5
2002 May,100272,38.4
2002 Jun,104372,40
2002 Jul,105211,40.3
2002 Aug,107541,41.2
2002 Sep,110150,42.2
2002 Oct,110989,42.5
2002 Nov,112107,43
2002 Dec,115835,44.4
2003 Jan,114996,44.1
2003 Feb,113785,43.6
2003 Mar,116208,44.5
2003 Apr,119003,45.6
2003 May,118164,45.3
2003 Jun,118444,45.4
2003 Jul,120494,46.2
2003 Aug,122638,47
2003 Sep,122265,46.9
2003 Oct,124408,47.7
2003 Nov,123010,47.1
2003 Dec,125433,48.1
2004 Jan,126179,48.4
2004 Feb,124967,47.9
2004 Mar,125247,48
2004 Apr,130931,50.2
2004 May,132516,50.8
2004 Jun,134845,51.7
2004 Jul,137734,52.8
2004 Aug,139319,53.4
2004 Sep,139039,53.3
2004 Oct,140064,53.7
2004 Nov,139878,53.6
2004 Dec,138853,53.2
2005 Jan,138759,53.2
2005 Feb,138626,53.1
2005 Mar,139763,53.6
2005 Apr,141751,54.3
2005 May,143273,54.9
2005 Jun,144410,55.3
2005 Jul,146269,56.1
2005 Aug,146864,56.3
2005 Sep,146635,56.2
2005 Oct,146342,56.1
2005 Nov,146777,56.2
2005 Dec,147580,56.6
2006 Jan,147360,56.5
2006 Feb,147601,56.6
2006 Mar,148798,57
2006 Apr,152032,58.3
2006 May,153473,58.8
2006 Jun,154927,59.4
2006 Jul,157156,60.2
2006 Aug,158476,60.7
2006 Sep,159122,61
2006 Oct,160054,61.3
2006 Nov,160878,61.7
2006 Dec,162881,62.4
2007 Jan,162825,62.4
2007 Feb,163288,62.6
2007 Mar,164555,63.1
2007 Apr,167877,64.3
2007 May,169800,65.1
2007 Jun,171659,65.8
2007 Jul,173817,66.6
2007 Aug,174826,67
2007 Sep,175052,67.1
2007 Oct,174644,66.9
2007 Nov,174553,66.9
2007 Dec,174280,66.8
2008 Jan,171137,65.6
2008 Feb,169666,65
2008 Mar,168432,64.5
2008 Apr,168711,64.7
2008 May,169742,65.1
2008 Jun,167498,64.2
2008 Jul,165669,63.5
2008 Aug,162212,62.2
2008 Sep,158128,60.6
2008 Oct,154920,59.4
2008 Nov,150563,57.7
2008 Dec,148267,56.8
2009 Jan,144840,55.5
2009 Feb,143166,54.9
2009 Mar,142278,54.5
2009 Apr,143567,55
2009 May,145550,55.8
2009 Jun,146984,56.3
2009 Jul,149620,57.3
2009 Aug,151096,57.9
2009 Sep,152283,58.4
2009 Oct,153306,58.8
2009 Nov,153823,58.9
2009 Dec,154832,59.3
2010 Jan,154268,59.1
2010 Feb,154654,59.3
2010 Mar,154645,59.3
2010 Apr,156625,60
2010 May,157379,60.3
2010 Jun,158155,60.6
2010 Jul,159757,61.2
2010 Aug,159748,61.2
2010 Sep,159337,61.1
2010 Oct,157562,60.4
2010 Nov,155691,59.7
2010 Dec,155405,59.6
2011 Jan,154113,59.1
2011 Feb,153297,58.7
2011 Mar,152591,58.5
2011 Apr,154958,59.4
2011 May,154269,59.1
2011 Jun,154530,59.2
2011 Jul,156476,60
2011 Aug,156570,60
2011 Sep,156179,59.9
2011 Oct,154456,59.2
2011 Nov,154533,59.2
2011 Dec,153880,59
2012 Jan,152831,58.6
2012 Feb,152415,58.4
2012 Mar,152866,58.6
2012 Apr,154623,59.3
2012 May,155121,59.4
2012 Jun,156645,60
2012 Jul,157246,60.3
2012 Aug,157431,60.3
2012 Sep,156871,60.1
2012 Oct,155761,59.7
2012 Nov,155888,59.7
2012 Dec,155534,59.6
2013 Jan,154495,59.2
2013 Feb,154465,59.2
2013 Mar,155385,59.5
2013 Apr,156909,60.1
2013 May,157736,60.4
2013 Jun,159045,61
2013 Jul,160830,61.6
2013 Aug,162110,62.1
2013 Sep,162217,62.2
2013 Oct,161554,61.9
2013 Nov,162450,62.3
2013 Dec,163942,62.8
2014 Jan,164137,62.9
2014 Feb,164818,63.2
2014 Mar,165385,63.4
2014 Apr,169065,64.8
2014 May,170856,65.5
2014 Jun,172331,66
2014 Jul,174755,67
2014 Aug,176803,67.8
2014 Sep,176993,67.8
2014 Oct,176731,67.7
2014 Nov,176137,67.5
2014 Dec,176561,67.7
2015 Jan,175636,67.3
2015 Feb,175785,67.4
2015 Mar,176439,67.6
2015 Apr,177994,68.2
2015 May,179917,68.9
2015 Jun,181289,69.5
2015 Jul,184365,70.7
2015 Aug,186053,71.3
2015 Sep,186435,71.4
2015 Oct,186689,71.5
2015 Nov,188125,72.1
2015 Dec,188767,72.3
2016 Jan,189268,72.5
2016 Feb,189352,72.6
2016 Mar,191298,73.3
2016 Apr,192013,73.6
2016 May,194250,74.4
2016 Jun,196106,75.2
2016 Jul,198169,75.9
2016 Aug,198186,76
2016 Sep,197883,75.8
2016 Oct,197230,75.6
2016 Nov,198157,75.9
2016 Dec,198513,76.1
2017 Jan,198276,76
2017 Feb,198695,76.1
2017 Mar,198270,76
2017 Apr,201407,77.2
2017 May,202616,77.6
2017 Jun,204347,78.3
2017 Jul,207005,79.3
2017 Aug,207944,79.7
2017 Sep,207167,79.4
2017 Oct,207349,79.5
2017 Nov,206760,79.2
2017 Dec,207568,79.5
2018 Jan,206844,79.3
2018 Feb,207385,79.5
2018 Mar,206133,79
2018 Apr,208103,79.8
2018 May,208953,80.1
2018 Jun,210355,80.6
2018 Jul,212963,81.6
2018 Aug,213618,81.9
2018 Sep,213210,81.7
2018 Oct,212986,81.6
2018 Nov,212077,81.3
2018 Dec,211621,81.1
2019 Jan,210317,80.6
2019 Feb,209787,80.4
2019 Mar,209202,80.2
2019 Apr,210718,80.8
2019 May,211005,80.9
2019 Jun,211915,81.2
2019 Jul,214282,82.1
2019 Aug,214971,82.4
2019 Sep,215127,82.4
2019 Oct,214559,82.2
2019 Nov,213801,81.9
2019 Dec,213521,81.8
2020 Jan,213657,81.9
2020 Feb,212429,81.4
2020 Mar,214344,82.1
2020 Apr,212160,81.3
2020 May,213258,81.7
2020 Jun,216208,82.9
2020 Jul,218030,83.6
2020 Aug,220163,84.4
2020 Sep,222511,85.3
2020 Oct,224377,86
2020 Nov,226675,86.9
2020 Dec,228446,87.5
2021 Jan,228417,87.5
2021 Feb,229067,87.8
2021 Mar,232463,89.1
2021 Apr,228979,87.8
2021 May,230532,88.3
2021 Jun,242777,93
2021 Jul,231386,88.7
2021 Aug,238403,91.4
2021 Sep,245371,94
2021 Oct,239236,91.7
2021 Nov,243930,93.5
2021 Dec,245189,94
2022 Jan,248031,95.1
2022 Feb,248309,95.2
2022 Mar,249232,95.5
2022 Apr,252167,96.6
2022 May,255040,97.7
2022 Jun,258118,98.9
2022 Jul,262904,100.8
2022 Aug,265124,101.6
2022 Sep,265727,101.8
2022 Oct,265693,101.8
2022 Nov,265299,101.7
2022 Dec,263190,100.9
2023 Jan,260941,100
2023 Feb,258788,99.2
2023 Mar,255885,98.1
2023 Apr,256479,98.3
2023 May,257330,98.6
2023 Jun,258275,99
2023 Jul,261182,100.1
2023 Aug,262602,100.6
2023 Sep,261318,100.1
2023 Oct,260129,99.7
2023 Nov,258368,99
2023 Dec,256177,98.2
2024 Jan,255972,98.1
2024 Feb,254633,97.6
2024 Mar,255082,97.8
2024 Apr,256478,98.3
2024 May,258565,99.1
2024 Jun,259585,99.5
2024 Jul,262479,100.6
2024 Aug,265085,101.6
2024 Sep,264750,101.5
2024 Oct,265252,101.7
2024 Nov,264515,101.4
2024 Dec,263991,101.2
2025 Jan,264936,101.5
2025 Feb,264771,101.5
