"Date","Monthly amounts outstanding of monetary financial institutions' sterling non-interest bearing sight deposits (inc. transit and suspense) from household sector (in sterling millions) seasonally adjusted  						[a] [b] [c] [d] [e] [f] [g] [h] [i] [j] [k] [l] [m] 						LPMBF88"
"30 Jun 26","304780"
"31 May 26","304407"
"30 Apr 26","302795"
"31 Mar 26","301597"
"28 Feb 26","302987"
"31 Jan 26","301930"
"31 Dec 25","298697"
"30 Nov 25","300654"
"31 Oct 25","298370"
"30 Sep 25","300172"
"31 Aug 25","299456"
"31 Jul 25","299012"
"30 Jun 25","297037"
"31 May 25","297854"
"30 Apr 25","296803"
"31 Mar 25","304547"
"28 Feb 25","300086"
"31 Jan 25","300013"
"31 Dec 24","301370"
"30 Nov 24","300771"
"31 Oct 24","297126"
"30 Sep 24","294559"
"31 Aug 24","294184"
"31 Jul 24","292492"
"30 Jun 24","293916"
"31 May 24","293538"
"30 Apr 24","295126"
"31 Mar 24","294441"
"29 Feb 24","293733"
"31 Jan 24","290397"
"31 Dec 23","295960"
"30 Nov 23","295638"
"31 Oct 23","298112"
"30 Sep 23","300415"
"31 Aug 23","303526"
"31 Jul 23","312318"
"30 Jun 23","315548"
"31 May 23","294355"
"30 Apr 23","298302"
"31 Mar 23","303167"
"28 Feb 23","305164"
"31 Jan 23","311421"
"31 Dec 22","313573"
"30 Nov 22","314863"
"31 Oct 22","318384"
"30 Sep 22","269859"
"31 Aug 22","268063"
"31 Jul 22","265998"
"30 Jun 22","263233"
"31 May 22","265766"
"30 Apr 22","265416"
"31 Mar 22","265146"
"28 Feb 22","263169"
"31 Jan 22","262166"
"31 Dec 21","258516"
"30 Nov 21","258170"
"31 Oct 21","255647"
"30 Sep 21","248460"
"31 Aug 21","247273"
"31 Jul 21","246015"
"30 Jun 21","243244"
"31 May 21","242301"
"30 Apr 21","243115"
"31 Mar 21","235781"
"28 Feb 21","235480"
"31 Jan 21","231294"
"31 Dec 20","226428"
"30 Nov 20","220791"
"31 Oct 20","216706"
"30 Sep 20","211384"
"31 Aug 20","211087"
"31 Jul 20","206675"
"30 Jun 20","202732"
"31 May 20","199840"
"30 Apr 20","190383"
"31 Mar 20","190051"
"29 Feb 20","183173"
"31 Jan 20","182292"
"31 Dec 19","181533"
"30 Nov 19","180328"
"31 Oct 19","175542"
"30 Sep 19","174793"
"31 Aug 19","173283"
"31 Jul 19","171226"
"30 Jun 19","170802"
"31 May 19","171104"
"30 Apr 19","170348"
"31 Mar 19","169341"
"28 Feb 19","169393"
"31 Jan 19","168864"
"31 Dec 18","170384"
"30 Nov 18","169622"
"31 Oct 18","165126"
"30 Sep 18","164929"
"31 Aug 18","165297"
"31 Jul 18","164355"
"30 Jun 18","162862"
"31 May 18","161177"
"30 Apr 18","160760"
"31 Mar 18","158623"
"28 Feb 18","157608"
"31 Jan 18","157685"
"31 Dec 17","188932"
"30 Nov 17","188398"
"31 Oct 17","187839"
"30 Sep 17","186272"
"31 Aug 17","183605"
"31 Jul 17","184402"
"30 Jun 17","182052"
"31 May 17","178935"
"30 Apr 17","182666"
"31 Mar 17","179995"
"28 Feb 17","178152"
"31 Jan 17","177938"
"31 Dec 16","174776"
"30 Nov 16","169145"
"31 Oct 16","169853"
"30 Sep 16","167487"
"31 Aug 16","164164"
"31 Jul 16","165483"
"30 Jun 16","163518"
"31 May 16","163329"
"30 Apr 16","175219"
"31 Mar 16","171237"
"29 Feb 16","169999"
"31 Jan 16","169093"
"31 Dec 15","167773"
"30 Nov 15","164601"
"31 Oct 15","163733"
"30 Sep 15","160825"
"31 Aug 15","161106"
"31 Jul 15","158223"
"30 Jun 15","156821"
"31 May 15","155569"
"30 Apr 15","153448"
"31 Mar 15","151892"
"28 Feb 15","151941"
"31 Jan 15","149962"
"31 Dec 14","147210"
"30 Nov 14","145714"
"31 Oct 14","145288"
"30 Sep 14","144144"
"31 Aug 14","142465"
"31 Jul 14","141029"
"30 Jun 14","140336"
"31 May 14","138407"
"30 Apr 14","136248"
"31 Mar 14","136655"
"28 Feb 14","134568"
"31 Jan 14","133157"
"31 Dec 13","131131"
"30 Nov 13","131202"
"31 Oct 13","129822"
"30 Sep 13","128385"
"31 Aug 13","126574"
"31 Jul 13","125572"
"30 Jun 13","122943"
"31 May 13","121300"
"30 Apr 13","121325"
"31 Mar 13","120160"
"28 Feb 13","119381"
"31 Jan 13","118314"
"31 Dec 12","118296"
"30 Nov 12","117752"
"31 Oct 12","115949"
"30 Sep 12","116176"
"31 Aug 12","117408"
"31 Jul 12","115828"
"30 Jun 12","114678"
"31 May 12","113532"
"30 Apr 12","114056"
"31 Mar 12","114807"
"29 Feb 12","113130"
"31 Jan 12","113190"
"31 Dec 11","111103"
"30 Nov 11","108688"
"31 Oct 11","109838"
"30 Sep 11","109924"
"31 Aug 11","108190"
"31 Jul 11","108473"
"30 Jun 11","107426"
"31 May 11","108597"
"30 Apr 11","108419"
"31 Mar 11","108915"
"28 Feb 11","108576"
"31 Jan 11","109563"
"31 Dec 10","105537"
"30 Nov 10","98501"
"31 Oct 10","93143"
"30 Sep 10","78703"
"31 Aug 10","78071"
"31 Jul 10","77010"
"30 Jun 10","78164"
"31 May 10","79024"
"30 Apr 10","78372"
"31 Mar 10","78067"
"28 Feb 10","77062"
"31 Jan 10","76357"
"31 Dec 09","81230"
"30 Nov 09","69062"
"31 Oct 09","68508"
"30 Sep 09","68066"
"31 Aug 09","68100"
"31 Jul 09","66160"
"30 Jun 09","62023"
"31 May 09","60694"
"30 Apr 09","60474"
"31 Mar 09","58448"
"28 Feb 09","50078"
"31 Jan 09","49783"
"31 Dec 08","44911"
"30 Nov 08","43754"
"31 Oct 08","44654"
"30 Sep 08","48091"
"31 Aug 08","44578"
"31 Jul 08","46071"
"30 Jun 08","33348"
"31 May 08","32210"
"30 Apr 08","31895"
"31 Mar 08","32823"
"29 Feb 08","31492"
"31 Jan 08","33417"
"31 Dec 07","26239"
"30 Nov 07","22018"
"31 Oct 07","22756"
"30 Sep 07","21657"
"31 Aug 07","21702"
"31 Jul 07","22674"
"30 Jun 07","23179"
"31 May 07","21753"
"30 Apr 07","22058"
"31 Mar 07","22232"
"28 Feb 07","22194"
"31 Jan 07","22132"
"31 Dec 06","22027"
"30 Nov 06","22295"
"31 Oct 06","21856"
"30 Sep 06","21676"
"31 Aug 06","21523"
"31 Jul 06","20821"
"30 Jun 06","20733"
"31 May 06","22339"
"30 Apr 06","21953"
"31 Mar 06","21410"
"28 Feb 06","21488"
"31 Jan 06","21502"
"31 Dec 05","21496"
"30 Nov 05","21800"
"31 Oct 05","19914"
"30 Sep 05","20472"
"31 Aug 05","21197"
"31 Jul 05","21004"
"30 Jun 05","21017"
"31 May 05","21634"
"30 Apr 05","21159"
"31 Mar 05","21100"
"28 Feb 05","21021"
"31 Jan 05","20172"
"31 Dec 04","20201"
"30 Nov 04","20272"
"31 Oct 04","20082"
"30 Sep 04","20179"
"31 Aug 04","20002"
"31 Jul 04","19818"
"30 Jun 04","20475"
"31 May 04","19283"
"30 Apr 04","20723"
"31 Mar 04","19200"
"29 Feb 04","18077"
"31 Jan 04","18487"
"31 Dec 03","19592"
"30 Nov 03","18766"
"31 Oct 03","19058"
"30 Sep 03","18006"
"31 Aug 03","17472"
"31 Jul 03","17032"
"30 Jun 03","17275"
"31 May 03","16733"
"30 Apr 03","17396"
"31 Mar 03","16713"
"28 Feb 03","16898"
"31 Jan 03","17076"
"31 Dec 02","17047"
"30 Nov 02","18931"
"31 Oct 02","19050"
"30 Sep 02","19255"
"31 Aug 02","19126"
"31 Jul 02","19626"
"30 Jun 02","18935"
"31 May 02","18843"
"30 Apr 02","18527"
"31 Mar 02","18703"
"28 Feb 02","19221"
"31 Jan 02","18569"
"31 Dec 01","18367"
"30 Nov 01","17799"
"31 Oct 01","17603"
"30 Sep 01","17717"
"31 Aug 01","17708"
"31 Jul 01","18033"
"30 Jun 01","17878"
"31 May 01","17868"
"30 Apr 01","17255"
"31 Mar 01","17869"
"28 Feb 01","17407"
"31 Jan 01","17466"
"31 Dec 00","17129"
"30 Nov 00","17298"
"31 Oct 00","17047"
"30 Sep 00","16875"
"31 Aug 00","16638"
"31 Jul 00","16265"
"30 Jun 00","16534"
"31 May 00","16625"
"30 Apr 00","17025"
"31 Mar 00","16361"
"29 Feb 00","16627"
"31 Jan 00","15806"
"31 Dec 99","17168"
"30 Nov 99","16298"
"31 Oct 99","16508"
"30 Sep 99","16475"
"31 Aug 99","15523"
"31 Jul 99","16273"
"30 Jun 99","16116"
"31 May 99","16102"
"30 Apr 99","15986"
"31 Mar 99","15636"
"28 Feb 99","15367"
"31 Jan 99","15546"
"31 Dec 98","15326"
"30 Nov 98","14686"
"31 Oct 98","15164"
"30 Sep 98","15269"
"31 Aug 98","15618"
"31 Jul 98","15576"
"30 Jun 98","15309"
"31 May 98","15430"
"30 Apr 98","15494"
"31 Mar 98","15637"
"28 Feb 98","15654"
"31 Jan 98","15658"
"31 Dec 97","15857"
"30 Nov 97","16256"
"31 Oct 97","16920"
"30 Sep 97","16435"

