"Date","Monthly amounts outstanding of monetary financial institutions' sterling time deposits, repos and CDs from household sector (in sterling millions) seasonally adjusted  						[a] [b] [c] [d] [e] [f] 						LPMZ3TN"
"30 Jun 26","259466"
"31 May 26","258092"
"30 Apr 26","258408"
"31 Mar 26","258563"
"28 Feb 26","260250"
"31 Jan 26","259968"
"31 Dec 25","261025"
"30 Nov 25","261181"
"31 Oct 25","262686"
"30 Sep 25","262299"
"31 Aug 25","263815"
"31 Jul 25","265642"
"30 Jun 25","267945"
"31 May 25","268234"
"30 Apr 25","269817"
"31 Mar 25","268831"
"28 Feb 25","267544"
"31 Jan 25","268459"
"31 Dec 24","269740"
"30 Nov 24","269768"
"31 Oct 24","272798"
"30 Sep 24","273016"
"31 Aug 24","273072"
"31 Jul 24","273181"
"30 Jun 24","273263"
"31 May 24","272750"
"30 Apr 24","273090"
"31 Mar 24","272780"
"29 Feb 24","269954"
"31 Jan 24","269385"
"31 Dec 23","266886"
"30 Nov 23","264403"
"31 Oct 23","260401"
"30 Sep 23","256723"
"31 Aug 23","252767"
"31 Jul 23","244446"
"30 Jun 23","233579"
"31 May 23","227905"
"30 Apr 23","222518"
"31 Mar 23","218406"
"28 Feb 23","211130"
"31 Jan 23","204073"
"31 Dec 22","195960"
"30 Nov 22","187544"
"31 Oct 22","176401"
"30 Sep 22","164371"
"31 Aug 22","160920"
"31 Jul 22","158934"
"30 Jun 22","155426"
"31 May 22","152937"
"30 Apr 22","150588"
"31 Mar 22","149833"
"28 Feb 22","149485"
"31 Jan 22","149458"
"31 Dec 21","149426"
"30 Nov 21","150087"
"31 Oct 21","149618"
"30 Sep 21","148703"
"31 Aug 21","149623"
"31 Jul 21","149801"
"30 Jun 21","150028"
"31 May 21","151579"
"30 Apr 21","152953"
"31 Mar 21","155684"
"28 Feb 21","157248"
"31 Jan 21","157861"
"31 Dec 20","158236"
"30 Nov 20","159670"
"31 Oct 20","159008"
"30 Sep 20","157163"
"31 Aug 20","159362"
"31 Jul 20","162052"
"30 Jun 20","165407"
"31 May 20","167088"
"30 Apr 20","167023"
"31 Mar 20","166680"
"29 Feb 20","168138"
"31 Jan 20","167485"
"31 Dec 19","167409"
"30 Nov 19","167966"
"31 Oct 19","166928"
"30 Sep 19","166750"
"31 Aug 19","166992"
"31 Jul 19","167119"
"30 Jun 19","166897"
"31 May 19","166883"
"30 Apr 19","166353"
"31 Mar 19","166157"
"28 Feb 19","165108"
"31 Jan 19","164670"
"31 Dec 18","164197"
"30 Nov 18","163665"
"31 Oct 18","164569"
"30 Sep 18","164159"
"31 Aug 18","163899"
"31 Jul 18","164633"
"30 Jun 18","165817"
"31 May 18","166005"
"30 Apr 18","166177"
"31 Mar 18","168580"
"28 Feb 18","169041"
"31 Jan 18","170184"
"31 Dec 17","170919"
"30 Nov 17","170487"
"31 Oct 17","169837"
"30 Sep 17","171086"
"31 Aug 17","172111"
"31 Jul 17","172502"
"30 Jun 17","173085"
"31 May 17","174355"
"30 Apr 17","175934"
"31 Mar 17","175664"
"28 Feb 17","176759"
"31 Jan 17","176946"
"31 Dec 16","178951"
"30 Nov 16","180716"
"31 Oct 16","182718"
"30 Sep 16","184524"
"31 Aug 16","185029"
"31 Jul 16","185656"
"30 Jun 16","183922"
"31 May 16","184693"
"30 Apr 16","185292"
"31 Mar 16","186105"
"29 Feb 16","187405"
"31 Jan 16","187029"
"31 Dec 15","187428"
"30 Nov 15","188959"
"31 Oct 15","189354"
"30 Sep 15","189691"
"31 Aug 15","190100"
"31 Jul 15","190817"
"30 Jun 15","192278"
"31 May 15","200947"
"30 Apr 15","202807"
"31 Mar 15","204075"
"28 Feb 15","206207"
"31 Jan 15","208007"
"31 Dec 14","212323"
"30 Nov 14","213253"
"31 Oct 14","213907"
"30 Sep 14","215157"
"31 Aug 14","218160"
"31 Jul 14","220683"
"30 Jun 14","223641"
"31 May 14","225662"
"30 Apr 14","228166"
"31 Mar 14","230060"
"28 Feb 14","232882"
"31 Jan 14","235244"
"31 Dec 13","237980"
"30 Nov 13","244597"
"31 Oct 13","247349"
"30 Sep 13","252516"
"31 Aug 13","255210"
"31 Jul 13","258826"
"30 Jun 13","261041"
"31 May 13","265147"
"30 Apr 13","268105"
"31 Mar 13","271335"
"28 Feb 13","272996"
"31 Jan 13","276394"
"31 Dec 12","280146"
"30 Nov 12","282450"
"31 Oct 12","284741"
"30 Sep 12","285576"
"31 Aug 12","286378"
"31 Jul 12","287030"
"30 Jun 12","285325"
"31 May 12","286471"
"30 Apr 12","285965"
"31 Mar 12","284798"
"29 Feb 12","283373"
"31 Jan 12","281880"
"31 Dec 11","279964"
"30 Nov 11","278965"
"31 Oct 11","278283"
"30 Sep 11","279683"
"31 Aug 11","279499"
"31 Jul 11","278915"
"30 Jun 11","278182"
"31 May 11","277421"
"30 Apr 11","275950"
"31 Mar 11","275584"
"28 Feb 11","275155"
"31 Jan 11","274113"
"31 Dec 10","272710"
"30 Nov 10","272210"
"31 Oct 10","269273"
"30 Sep 10","270053"
"31 Aug 10","268514"
"31 Jul 10","267105"
"30 Jun 10","267469"
"31 May 10","266829"
"30 Apr 10","267541"
"31 Mar 10","267539"
"28 Feb 10","266164"
"31 Jan 10","264824"
"31 Dec 09","263818"
"30 Nov 09","263299"
"31 Oct 09","265618"
"30 Sep 09","265171"
"31 Aug 09","265766"
"31 Jul 09","266592"
"30 Jun 09","269372"
"31 May 09","269145"
"30 Apr 09","268788"
"31 Mar 09","265971"
"28 Feb 09","265626"
"31 Jan 09","265351"
"31 Dec 08","266843"
"30 Nov 08","264624"
"31 Oct 08","258974"
"30 Sep 08","251283"
"31 Aug 08","249257"
"31 Jul 08","245638"
"30 Jun 08","241184"
"31 May 08","237820"
"30 Apr 08","233766"
"31 Mar 08","227769"
"29 Feb 08","226772"
"31 Jan 08","224159"

