"Date","Monthly amounts outstanding of UK resident banks' (inc. Central Bank) excluding mutuals sterling time deposits, repos and CDs from household sector (in sterling millions) seasonally adjusted              [a] [b] [b] [a] [a] [b] [c] [d] [e] [f] [g] [h] [i]             LPMB2F8"
"30 Nov 13","161174"
"31 Oct 13","163146"
"30 Sep 13","167299"
"31 Aug 13","168946"
"31 Jul 13","171253"
"30 Jun 13","173550"
"31 May 13","176372"
"30 Apr 13","178752"
"31 Mar 13","180843"
"28 Feb 13","182962"
"31 Jan 13","184571"
"31 Dec 12","186424"
"30 Nov 12","187121"
"31 Oct 12","188228"
"30 Sep 12","187882"
"31 Aug 12","188264"
"31 Jul 12","188628"
"30 Jun 12","188125"
"31 May 12","188627"
"30 Apr 12","187709"
"31 Mar 12","185771"
"29 Feb 12","183748"
"31 Jan 12","181813"
"31 Dec 11","179140"
"30 Nov 11","177818"
"31 Oct 11","177945"
"30 Sep 11","179300"
"31 Aug 11","178899"
"31 Jul 11","178502"
"30 Jun 11","178269"
"31 May 11","177751"
"30 Apr 11","176029"
"31 Mar 11","176916"
"28 Feb 11","175942"
"31 Jan 11","176104"
"31 Dec 10","175586"
"30 Nov 10","175463"
"31 Oct 10","173582"
"30 Sep 10","173350"
"31 Aug 10","172013"
"31 Jul 10","170410"
"30 Jun 10","169777"
"31 May 10","169583"
"30 Apr 10","170364"
"31 Mar 10","170506"
"28 Feb 10","169423"
"31 Jan 10","168521"
"31 Dec 09","177035"
"30 Nov 09","176155"
"31 Oct 09","178833"
"30 Sep 09","178656"
"31 Aug 09","178466"
"31 Jul 09","173167"
"30 Jun 09","173446"
"31 May 09","172669"
"30 Apr 09","172764"
"31 Mar 09","171162"
"28 Feb 09","170873"
"31 Jan 09","172886"
"31 Dec 08","175340"
"30 Nov 08","173737"
"31 Oct 08","169892"
"30 Sep 08","163566"
"31 Aug 08","162194"
"31 Jul 08","160296"
"30 Jun 08","158047"
"31 May 08","155725"
"30 Apr 08","153237"
"31 Mar 08","147702"
"29 Feb 08","147219"
"31 Jan 08","145574"
"31 Dec 07","145654"
"30 Nov 07","142314"
"31 Oct 07","142599"
"30 Sep 07","142108"
"31 Aug 07","150114"
"31 Jul 07","150337"
"30 Jun 07","147845"
"31 May 07","147671"
"30 Apr 07","146863"
"31 Mar 07","146062"
"28 Feb 07","144175"
"31 Jan 07","141051"
"31 Dec 06","139392"
"30 Nov 06","137960"
"31 Oct 06","137376"
"30 Sep 06","136937"
"31 Aug 06","134411"
"31 Jul 06","132264"
"30 Jun 06","131116"
"31 May 06","130565"
"30 Apr 06","129829"
"31 Mar 06","129469"
"28 Feb 06","128217"
"31 Jan 06","128901"
"31 Dec 05","123650"
"30 Nov 05","122957"
"31 Oct 05","121678"
"30 Sep 05","122448"
"31 Aug 05","124301"
"31 Jul 05","126009"
"30 Jun 05","127041"
"31 May 05","127078"
"30 Apr 05","126616"
"31 Mar 05","126754"
"28 Feb 05","127163"
"31 Jan 05","127408"
"31 Dec 04","126975"
"30 Nov 04","127239"
"31 Oct 04","127067"
"30 Sep 04","126933"
"31 Aug 04","126234"
"31 Jul 04","125757"
"30 Jun 04","125000"
"31 May 04","125214"
"30 Apr 04","125515"
"31 Mar 04","126312"
"29 Feb 04","126067"
"31 Jan 04","126287"
"31 Dec 03","126193"
"30 Nov 03","125395"
"31 Oct 03","125581"
"30 Sep 03","126037"
"31 Aug 03","125180"
"31 Jul 03","125008"
"30 Jun 03","126493"
"31 May 03","122037"
"30 Apr 03","122558"
"31 Mar 03","122450"
"28 Feb 03","123316"
"31 Jan 03","123649"
"31 Dec 02","125276"
"30 Nov 02","125507"
"31 Oct 02","125428"
"30 Sep 02","125291"
"31 Aug 02","126217"
"31 Jul 02","126147"
"30 Jun 02","126657"
"31 May 02","127315"
"30 Apr 02","127250"
"31 Mar 02","127686"
"28 Feb 02","128535"
"31 Jan 02","129530"
"31 Dec 01","130512"
"30 Nov 01","131012"
"31 Oct 01","132055"
"30 Sep 01","132399"
"31 Aug 01","133056"
"31 Jul 01","133281"
"30 Jun 01","133499"
"31 May 01","133947"
"30 Apr 01","134899"
"31 Mar 01","135808"
"28 Feb 01","135524"
"31 Jan 01","136886"
"31 Dec 00","137354"
"30 Nov 00","131375"
"31 Oct 00","131790"
"30 Sep 00","132923"
"31 Aug 00","132618"
"31 Jul 00","133619"
"30 Jun 00","134388"
"31 May 00","134939"
"30 Apr 00","135155"
"31 Mar 00","135750"
"29 Feb 00","136095"
"31 Jan 00","136553"
"31 Dec 99","138245"
"30 Nov 99","137960"
"31 Oct 99","138514"
"30 Sep 99","142429"
"31 Aug 99","144669"
"31 Jul 99","144738"
"30 Jun 99","145446"
"31 May 99","147866"
"30 Apr 99","148649"
"31 Mar 99","145293"
"28 Feb 99","147358"
"31 Jan 99","148269"
"31 Dec 98","148786"
"30 Nov 98","148315"
"31 Oct 98","147893"
"30 Sep 98","147300"
"31 Aug 98","147321"
"31 Jul 98","146907"
"30 Jun 98","141875"
"31 May 98","140665"
"30 Apr 98","145100"
"31 Mar 98","145325"
"28 Feb 98","146590"
"31 Jan 98","146301"
"31 Dec 97","145158"
"30 Nov 97","145414"
"31 Oct 97","145457"
"30 Sep 97","142274"
