Date,Month_year,YEAR,Monthly amounts outstanding of monetary financial institutions' sterling net lending  to household sector (in sterling millions) seasonally adjusted  LPMBC44,Monthly amounts outstanding of monetary financial institutions' sterling consumer credit lending excluding securitisations to individuals (in sterling millions) seasonally adjusted LPMBC46,Monthly amounts outstanding of monetary financial institutions' sterling net credit card lending to individuals (in sterling millions) seasonally adjusted  LPMBC53,Monthly amounts outstanding of monetary financial institutions' sterling consumer credit (excluding credit card) excluding securitisations to individuals (in sterling millions) seasonally adjusted  LPMBC54,Monthly amounts outstanding of monetary financial institutions' sterling net secured lending to individuals (in sterling millions) seasonally adjusted  LPMBC55,"Monthly amounts outstanding of monetary financial institutions' sterling net consumer credit loans (excluding credit card and overdrafts) excluding securitisations to individuals (in sterling millions) seasonally adjusted  	LPMZ5G7"
31-Dec-08,Dec-08,08,1285947,151409,53692,97717,1084544,85345
30-Nov-08,Nov-08,08,1284342,152437,53965,98472,1081902,86153
31-Oct-08,Oct-08,08,1281112,153094,53894,99200,1077822,87067
30-Sep-08,Sep-08,08,1278389,156101,56534,99567,1073928,87708
31-Aug-08,Aug-08,08,1274362,155640,55432,100208,1070549,88138
31-Jul-08,Jul-08,08,1272564,155583,54977,100606,1068940,88417
30-Jun-08,Jun-08,08,1265476,155645,54955,100691,1062011,88756
31-May-08,May-08,08,1260576,156767,55211,101556,1056457,89425
30-Apr-08,Apr-08,08,1254662,156161,54404,101756,1051421,89701
31-Mar-08,Mar-08,08,1248172,156415,54471,101945,1045286,89843
29-Feb-08,Feb-08,08,1240932,156456,54375,102081,1038577,89992
31-Jan-08,Jan-08,08,1232331,155830,54232,101598,1030877,89928
31-Dec-09,Dec-09,09,1298773,141521,53670,87851,1108720,76251
30-Nov-09,Nov-09,09,1297284,142505,53809,88696,1106108,76950
31-Oct-09,Oct-09,09,1294896,143397,53541,89857,1102883,78092
30-Sep-09,Sep-09,09,1294441,144165,53170,90995,1101646,78909
31-Aug-09,Aug-09,09,1294947,146917,54763,92154,1099310,80276
31-Jul-09,Jul-09,09,1294672,147884,54751,93133,1097781,81072
30-Jun-09,Jun-09,09,1293340,148364,54745,93619,1095872,81521
31-May-09,May-09,09,1292295,149198,55155,94044,1093844,81822
30-Apr-09,Apr-09,09,1290267,148476,53921,94554,1092418,82571
31-Mar-09,Mar-09,09,1289194,148714,53582,95132,1090922,82985
28-Feb-09,Feb-09,09,1288698,149835,53886,95949,1089010,83863
31-Jan-09,Jan-09,09,1287741,151127,53880,97247,1086822,84695
31-Dec-10,Dec-10,10,1176760,126630,53114,73516,1005517,62368
30-Nov-10,Nov-10,10,1180804,129717,56279,73439,1005311,62760
31-Oct-10,Oct-10,10,1181980,131360,56176,75184,1004423,63401
30-Sep-10,Sep-10,10,1181211,131749,56209,75540,1003594,63971
31-Aug-10,Aug-10,10,1181264,132573,56387,76187,1002403,64445
31-Jul-10,Jul-10,10,1208992,133401,56408,76993,1029253,64997
30-Jun-10,Jun-10,10,1208527,133710,56511,77199,1028127,65635
31-May-10,May-10,10,1209688,136021,56993,79027,1026792,67452
30-Apr-10,Apr-10,10,1211218,137811,58114,79696,1025428,68066
31-Mar-10,Mar-10,10,1211790,138763,58455,80308,1024814,68769
28-Feb-10,Feb-10,10,1211942,140183,58741,81443,1024297,69853
31-Jan-10,Jan-10,10,1211187,140185,58773,81412,1022950,69281
31-Dec-11,Dec-11,11,1175425,117811,50555,67256,1014115,56846
30-Nov-11,Nov-11,11,1176988,118664,50855,67808,1014660,57297
31-Oct-11,Oct-11,11,1176864,119224,51197,68027,1014064,57584
30-Sep-11,Sep-11,11,1176694,119952,51497,68455,1012957,58055
31-Aug-11,Aug-11,11,1176791,120758,51580,69178,1012124,58423
31-Jul-11,Jul-11,11,1176197,121167,51843,69324,1011027,58587
30-Jun-11,Jun-11,11,1175628,121684,51869,69815,1010143,58969
31-May-11,May-11,11,1175392,122122,52092,70030,1009280,59348
30-Apr-11,Apr-11,11,1175338,123308,52238,71070,1008009,60122
31-Mar-11,Mar-11,11,1175743,123888,52664,71224,1007574,60557
28-Feb-11,Feb-11,11,1176886,124771,52945,71826,1007576,61045
31-Jan-11,Jan-11,11,1177141,125417,53099,72319,1007061,61531
31-Dec-12,Dec-12,12,1183557,111674,49970,61704,1035035,51665
30-Nov-12,Nov-12,12,1181435,110420,49618,60802,1034192,50676
31-Oct-12,Oct-12,12,1181578,111030,49797,61233,1033523,51020
30-Sep-12,Sep-12,12,1182142,112029,50076,61953,1033025,51310
31-Aug-12,Aug-12,12,1181415,111711,49807,61904,1032322,51505
31-Jul-12,Jul-12,12,1182018,112126,49950,62176,1032330,51630
30-Jun-12,Jun-12,12,1181046,113009,50273,62737,1030271,52136
31-May-12,May-12,12,1173020,112846,49663,63183,1022229,52698
30-Apr-12,Apr-12,12,1177599,113302,49845,63457,1021883,53021
31-Mar-12,Mar-12,12,1177169,114741,50215,64526,1019851,53995
29-Feb-12,Feb-12,12,1175632,114425,50012,64413,1018389,54117
31-Jan-12,Jan-12,12,1175577,115321,50379,64942,1017037,54632
31-Dec-13,Dec-13,13,1189457,107011,45133,61878,1048901,52550
30-Nov-13,Nov-13,13,1188876,107388,45465,61923,1047264,52964
31-Oct-13,Oct-13,13,1185326,107490,45438,62053,1043410,52655
30-Sep-13,Sep-13,13,1183960,107953,45567,62386,1041363,52734
31-Aug-13,Aug-13,13,1182706,107841,45427,62414,1040091,52557
31-Jul-13,Jul-13,13,1181437,107222,45341,61881,1039454,52417
30-Jun-13,Jun-13,13,1179150,105539,43941,61598,1038361,52130
31-May-13,May-13,13,1178050,105540,43574,61966,1037204,52054
30-Apr-13,Apr-13,13,1177717,105249,43337,61912,1036739,51926
31-Mar-13,Mar-13,13,1177851,105256,43304,61952,1035918,52002
28-Feb-13,Feb-13,13,1178331,105596,43206,62390,1035875,52228
31-Jan-13,Jan-13,13,1177577,105415,42847,62568,1035281,52481
31-Dec-14,Dec-14,14,1221194,114630,49356,65274,1074628,56602
30-Nov-14,Nov-14,14,1219329,114312,49211,65101,1072898,56308
31-Oct-14,Oct-14,14,1216833,113800,48859,64941,1070730,56175
30-Sep-14,Sep-14,14,1212718,111187,46562,64625,1069080,55734
31-Aug-14,Aug-14,14,1208600,109062,45482,63580,1067057,54707
31-Jul-14,Jul-14,14,1206647,108753,45370,63383,1065276,54418
30-Jun-14,Jun-14,14,1204100,108378,45317,63062,1063030,54066
31-May-14,May-14,14,1201962,108195,45322,62873,1060936,53802
30-Apr-14,Apr-14,14,1199711,107715,45302,62413,1059075,53401
31-Mar-14,Mar-14,14,1197143,107536,45270,62265,1056372,53142
28-Feb-14,Feb-14,14,1193959,107080,45204,61876,1053465,52818
31-Jan-14,Jan-14,14,1191568,106963,45197,61765,1051193,52554
31-Dec-15,Dec-15,15,1260942,119866,50733,69133,1109896,60860
30-Nov-15,Nov-15,15,1254519,119179,50494,68685,1104240,60315
31-Oct-15,Oct-15,15,1249857,118736,50296,68440,1099994,60120
30-Sep-15,Sep-15,15,1245650,118101,50254,67847,1096430,59457
31-Aug-15,Aug-15,15,1242440,117912,50149,67764,1093229,59365
31-Jul-15,Jul-15,15,1238704,117644,50248,67396,1089816,58896
30-Jun-15,Jun-15,15,1234480,116793,50077,66716,1086399,58277
31-May-15,May-15,15,1231403,116326,49977,66349,1083629,57869
30-Apr-15,Apr-15,15,1228706,116024,49976,66048,1081265,57515
31-Mar-15,Mar-15,15,1226745,115858,49736,66122,1079385,57520
28-Feb-15,Feb-15,15,1224230,114614,49624,64990,1077826,56606
31-Jan-15,Jan-15,15,1221504,115170,49555,65615,1074494,57007
31-Dec-16,Dec-16,16,1313177,127889,52648,75241,1155263,67091
30-Nov-16,Nov-16,16,1310766,127615,52590,75025,1152931,66796
31-Oct-16,Oct-16,16,1307990,126972,52422,74551,1150849,66409
30-Sep-16,Sep-16,16,1303519,126227,52044,74183,1147097,66132
31-Aug-16,Aug-16,16,1299632,125870,52194,73676,1143302,65485
