Date,Year,Month,Bank_Rate,CPI,Unemployment_Rate,House_Price_Index,GDP_Growth,Current_Accounts,Savings_Accounts,Mortgage_Approvals,Consumer_Credit,Credit_Card_Lending
2008-01,2008,January,5.5,2.2,5.2,65.6,0.4,33417,224159,71326,101598,54232
2008-02,2008,February,5.25,2.5,5.2,65,0.4,31492,226772,71064,102081,54375
2008-03,2008,March,5.25,2.5,5.3,64.5,0.4,32823,227769,60454,101945,54471
2008-04,2008,April,5,3,5.2,64.7,-0.5,31895,233766,57134,101756,54404
2008-05,2008,May,5,3.3,5.4,65.1,-0.5,32210,237820,40546,101556,55211
2008-06,2008,June,5,3.8,5.5,64.2,-0.5,33348,241184,35391,100691,54955
2008-07,2008,July,5,4.4,5.7,63.5,-1.6,46071,245638,33021,100606,54977
2008-08,2008,August,5,4.7,5.9,62.2,-1.6,44578,249257,32657,100208,55432
2008-09,2008,September,5,5.2,6,60.6,-1.6,48091,251283,32286,99567,56534
2008-10,2008,October,4.5,4.5,6.2,59.4,-2.1,44654,258974,31597,99200,53894
2008-11,2008,November,3,4.1,6.4,57.7,-2.1,43754,264624,26371,98472,53965
2008-12,2008,December,2,3.1,6.5,56.8,-2.1,44911,266843,31626,97717,53692
2009-01,2009,January,1.5,3,6.7,55.5,-2,49783,265351,32389,97247,53880
2009-02,2009,February,1,3.2,7.1,54.9,-2,50078,265626,40782,95949,53886
2009-03,2009,March,0.5,2.9,7.3,54.5,-2,58448,265971,42120,95132,53582
2009-04,2009,April,0.5,2.3,7.6,55,-0.3,60474,268788,45456,94554,53921
2009-05,2009,May,0.5,2.2,7.8,55.8,-0.3,60694,269145,47650,94044,55155
2009-06,2009,June,0.5,1.8,7.9,56.3,-0.3,62023,269372,50455,93619,54745
2009-07,2009,July,0.5,1.8,7.9,57.3,0.1,66160,266592,53421,93133,54751
2009-08,2009,August,0.5,1.6,7.8,57.9,0.1,68100,265766,52563,92154,54763
2009-09,2009,September,0.5,1.1,7.9,58.4,0.1,68066,265171,55616,90995,53170
2009-10,2009,October,0.5,1.5,7.8,58.8,0.3,68508,265618,55939,89857,53541
2009-11,2009,November,0.5,1.9,7.8,58.9,0.3,69062,263299,57265,88696,53809
2009-12,2009,December,0.5,2.9,7.7,59.3,0.3,81230,263818,58008,87851,53670
2010-01,2010,January,0.5,3.5,7.9,59.1,0.8,76357,264824,46526,81412,58773
2010-02,2010,February,0.5,3,8,59.3,0.8,77062,266164,47866,81443,58741
2010-03,2010,March,0.5,3.4,8,59.3,0.8,78067,267539,49160,80308,58455
2010-04,2010,April,0.5,3.7,7.9,60,1.1,78372,267541,50241,79696,58114
2010-05,2010,May,0.5,3.4,7.9,60.3,1.1,79024,266829,49996,79027,56993
2010-06,2010,June,0.5,3.2,7.8,60.6,1.1,78164,267469,49519,77199,56511
2010-07,2010,July,0.5,3.1,7.8,61.2,0.6,77010,267105,48689,76993,56408
2010-08,2010,August,0.5,3.1,7.8,61.2,0.6,78071,268514,47345,76187,56387
2010-09,2010,September,0.5,3.1,7.9,61.1,0.6,78703,270053,46751,75540,56209
2010-10,2010,October,0.5,3.2,7.9,60.4,0.1,93143,269273,46925,75184,56176
