Title,AWE: Whole Economy Level (£): Seasonally Adjusted Regular Pay Excluding Arrears
2008 JAN,398
2008 FEB,400
2008 MAR,402
2008 APR,404
2008 MAY,403
2008 JUN,404
2008 JUL,405
2008 AUG,406
2008 SEP,407
2008 OCT,409
2008 NOV,409
2008 DEC,409
2009 JAN,409
2009 FEB,410
2009 MAR,410
2009 APR,411
2009 MAY,412
2009 JUN,412
2009 JUL,411
2009 AUG,411
2009 SEP,413
2009 OCT,413
2009 NOV,413
2009 DEC,414
2010 JAN,417
2010 FEB,416
2010 MAR,418
2010 APR,417
2010 MAY,417
2010 JUN,418
2010 JUL,420
2010 AUG,421
2010 SEP,422
2010 OCT,422
2010 NOV,423
2010 DEC,423
2011 JAN,426
2011 FEB,425
2011 MAR,425
2011 APR,426
2011 MAY,427
2011 JUN,426
2011 JUL,427
2011 AUG,427
2011 SEP,429
2011 OCT,430
2011 NOV,430
2011 DEC,431
2012 JAN,430
2012 FEB,432
2012 MAR,433
2012 APR,433
2012 MAY,434
2012 JUN,435
2012 JUL,435
2012 AUG,436
2012 SEP,435
2012 OCT,435
2012 NOV,436
2012 DEC,436
2013 JAN,434
2013 FEB,435
2013 MAR,436
2013 APR,438
2013 MAY,438
2013 JUN,438
2013 JUL,439
2013 AUG,438
2013 SEP,438
2013 OCT,439
2013 NOV,438
2013 DEC,441
2014 JAN,441
2014 FEB,440
2014 MAR,439
2014 APR,440
2014 MAY,441
2014 JUN,441
2014 JUL,442
2014 AUG,443
2014 SEP,445
2014 OCT,447
2014 NOV,445
2014 DEC,447
2015 JAN,448
2015 FEB,450
2015 MAR,452
2015 APR,452
2015 MAY,453
2015 JUN,453
2015 JUL,454
2015 AUG,454
2015 SEP,454
2015 OCT,454
2015 NOV,455
2015 DEC,456
2016 JAN,459
2016 FEB,461
2016 MAR,461
2016 APR,463
2016 MAY,462
2016 JUN,464
2016 JUL,464
2016 AUG,464
2016 SEP,465
2016 OCT,465
2016 NOV,467
2016 DEC,467
2017 JAN,468
2017 FEB,469
2017 MAR,470
2017 APR,471
2017 MAY,473
2017 JUN,473
2017 JUL,474
2017 AUG,475
2017 SEP,476
2017 OCT,477
2017 NOV,478
2017 DEC,479
2018 JAN,480
2018 FEB,482
2018 MAR,484
2018 APR,483
2018 MAY,485
2018 JUN,487
2018 JUL,489
2018 AUG,491
2018 SEP,491
2018 OCT,493
2018 NOV,494
2018 DEC,495
2019 JAN,498
2019 FEB,498
2019 MAR,500
2019 APR,503
2019 MAY,504
2019 JUN,506
2019 JUL,507
2019 AUG,508
2019 SEP,508
2019 OCT,509
2019 NOV,510
2019 DEC,511
2020 JAN,512
2020 FEB,512
2020 MAR,512
2020 APR,502
2020 MAY,503
2020 JUN,505
2020 JUL,512
2020 AUG,518
2020 SEP,523
2020 OCT,527
2020 NOV,531
2020 DEC,533
2021 JAN,534
2021 FEB,535
2021 MAR,537
2021 APR,540
2021 MAY,540
2021 JUN,541
2021 JUL,543
2021 AUG,544
2021 SEP,545
2021 OCT,548
2021 NOV,551
2021 DEC,554
2022 JAN,559
2022 FEB,559
2022 MAR,562
2022 APR,563
2022 MAY,568
2022 JUN,569
2022 JUL,573
2022 AUG,576
2022 SEP,578
2022 OCT,584
2022 NOV,589
2022 DEC,591
2023 JAN,594
2023 FEB,599
2023 MAR,602
2023 APR,607
2023 MAY,612
2023 JUN,615
2023 JUL,618
2023 AUG,621
2023 SEP,622
2023 OCT,620
2023 NOV,625
2023 DEC,627
2024 JAN,630
2024 FEB,634
2024 MAR,639
2024 APR,642
2024 MAY,645
2024 JUN,648
2024 JUL,650
2024 AUG,652
2024 SEP,655
2024 OCT,658
2024 NOV,661
2024 DEC,665
2025 JAN,667
2025 FEB,670
2025 MAR,671
2025 APR,674
2025 MAY,677
2025 JUN,679
2025 JUL,680
2025 AUG,682
2025 SEP,685
2025 OCT,687
2025 NOV,688
2025 DEC,690
