Year,Average_Age,Median_Age,Average_Income,Median_Income,Current_Account_Customers,Savings_Customers,Mortgage_Customers,Personal_Loan_Customers,Credit_Card_Customers,Average_Current_Account_Balance,Average_Savings_Balance,Average_Personal_Loan_Balance,Average_Credit_Card_Balance,Total_Customers,Current_Account_Adoption_Pct,Savings_Adoption_Pct,Mortgage_Adoption_Pct,Personal_Loan_Adoption_Pct,Credit_Card_Adoption_Pct
2008,38.671,38.0,29396.690757392327,19862.511672176784,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2009,39.5813,39.0,29899.146550815633,20206.737727638785,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2010,40.5063,40.0,30474.24655533628,20592.851658817275,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2011,41.445,41.0,31049.34655985693,20981.490143184634,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2012,42.3944,42.0,31539.694984764013,21318.079524705758,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2013,43.3558,43.0,31793.949723604714,21489.563263617158,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2014,44.3308,44.0,32151.11709483333,21721.224673691773,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2015,45.3162,45.0,32901.77394283923,22236.02591795744,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2016,46.3077,46.0,33670.59184361946,22755.271952953113,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2017,47.3077,47.0,34403.08763885103,23247.859360405768,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2018,48.3077,48.0,35438.2676469882,23940.400340419168,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2019,49.3077,49.0,36697.43397267551,24796.507977125868,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2020,50.3077,50.0,37472.305557713866,25301.124328064558,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2021,51.3077,51.0,39421.591888825955,26624.740644812664,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2022,52.3077,52.0,41594.864537488196,28084.76344989737,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2023,53.3077,53.0,44567.223508221236,30099.270143861493,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2024,54.3077,54.0,47091.60984385398,31801.966868786596,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
2025,55.3077,55.0,49337.52670361357,33331.97506584038,118140,107424,33396,20100,84420,2243.6472953520547,17364.46543841413,1192.6172104954476,915.2239861627554,10000,1181.4,1074.24,333.96,200.99999999999997,844.2
