Date,Total_Customers,Current_Account_Customers,Total_Current_Account_Balance,Savings_Customers,Total_Savings_Balance,Mortgage_Approvals_Synthetic,Personal_Loan_Customers,Total_Personal_Loan_Balance,Credit_Card_Customers,Total_Credit_Card_Balance,Bank_Rate,CPI,GDP_Growth,Unemployment_Rate,House_Price_Index,Current_Accounts,Savings_Accounts,Mortgage_Approvals,Consumer_Credit,Credit_Card_Lending,Economy_Status,Difficult_Economy_Probability
2008-01-31,10000,9911,24031698.86785746,9250,149036337.96135136,24,960,8758943.929693274,6616,257572.1548903046,5.5,2.2,0.4,5.2,65.6,33417,224159,71326,101598,54232,0,0.23516913836609427
2008-02-29,10000,9911,24031698.86785746,9250,149036337.96135136,27,960,8758943.929693274,6616,257572.1548903046,5.25,2.5,0.4,5.2,65.0,31492,226772,71064,102081,54375,0,0.22698752409709147
2008-03-31,10000,9911,24031698.86785746,9250,149036337.96135136,16,960,8758943.929693274,6616,257572.1548903046,5.25,2.5,0.4,5.3,64.5,32823,227769,60454,101945,54471,0,0.2658388399091192
2008-04-30,10000,9911,24031698.86785746,9250,149036337.96135136,17,960,8758943.929693274,6616,257572.1548903046,5.0,3.0,-0.5,5.2,64.7,31895,233766,57134,101756,54404,0,0.3099440123179776
2008-05-31,10000,9911,24031698.86785746,9250,149036337.96135136,15,960,8758943.929693274,6616,257572.1548903046,5.0,3.3,-0.5,5.4,65.1,32210,237820,40546,101556,55211,0,0.44658786584602395
2008-06-30,10000,9911,24031698.86785746,9250,149036337.96135136,9,960,8758943.929693274,6616,257572.1548903046,5.0,3.8,-0.5,5.5,64.2,33348,241184,35391,100691,54955,1,0.5864404453595059
2008-07-31,10000,9911,24031698.86785746,9250,149036337.96135136,9,960,8758943.929693274,6616,257572.1548903046,5.0,4.4,-1.6,5.7,63.5,46071,245638,33021,100606,54977,1,0.8306065175949439
2008-08-31,10000,9911,24031698.86785746,9250,149036337.96135136,10,960,8758943.929693274,6616,257572.1548903046,5.0,4.7,-1.6,5.9,62.2,44578,249257,32657,100208,55432,1,0.9023165050921498
2008-09-30,10000,9911,24031698.86785746,9250,149036337.96135136,14,960,8758943.929693274,6616,257572.1548903046,5.0,5.2,-1.6,6.0,60.6,48091,251283,32286,99567,56534,1,0.943025058251096
2008-10-31,10000,9911,24031698.86785746,9250,149036337.96135136,8,960,8758943.929693274,6616,257572.1548903046,4.5,4.5,-2.1,6.2,59.4,44654,258974,31597,99200,53894,1,0.9171233372352525
2008-11-30,10000,9911,24031698.86785746,9250,149036337.96135136,9,960,8758943.929693274,6616,257572.1548903046,3.0,4.1,-2.1,6.4,57.7,43754,264624,26371,98472,53965,1,0.7224334348347144
2008-12-31,10000,9911,24031698.86785746,9250,149036337.96135136,15,960,8758943.929693274,6616,257572.1548903046,2.0,3.1,-2.1,6.5,56.8,44911,266843,31626,97717,53692,0,0.358211917579348
2009-01-31,10000,9911,24031698.86785746,9250,149036337.96135136,4,960,8758943.929693274,6616,257572.1548903046,1.5,3.0,-2.0,6.7,55.5,49783,265351,32389,97247,53880,0,0.31014168626324934
2009-02-28,10000,9911,24031698.86785746,9250,149036337.96135136,17,960,8758943.929693274,6616,257572.1548903046,1.0,3.2,-2.0,7.1,54.9,50078,265626,40782,95949,53886,0,0.4012633198513437
2009-03-31,10000,9911,24031698.86785746,9250,149036337.96135136,12,960,8758943.929693274,6616,257572.1548903046,0.5,2.9,-2.0,7.3,54.5,58448,265971,42120,95132,53582,0,0.3228292469109487
2009-04-30,10000,9911,24031698.86785746,9250,149036337.96135136,20,960,8758943.929693274,6616,257572.1548903046,0.5,2.3,-0.3,7.6,55.0,60474,268788,45456,94554,53921,0,0.22689765873981463
2009-05-31,10000,9911,24031698.86785746,9250,149036337.96135136,22,960,8758943.929693274,6616,257572.1548903046,0.5,2.2,-0.3,7.8,55.8,60694,269145,47650,94044,55155,0,0.2838247846510628
2009-06-30,10000,9911,24031698.86785746,9250,149036337.96135136,23,960,8758943.929693274,6616,257572.1548903046,0.5,1.8,-0.3,7.9,56.3,62023,269372,50455,93619,54745,0,0.2653586208308557
2009-07-31,10000,9911,24031698.86785746,9250,149036337.96135136,20,960,8758943.929693274,6616,257572.1548903046,0.5,1.8,0.1,7.9,57.3,66160,266592,53421,93133,54751,0,0.23178251442760156
2009-08-31,10000,9911,24031698.86785746,9250,149036337.96135136,21,960,8758943.929693274,6616,257572.1548903046,0.5,1.6,0.1,7.8,57.9,68100,265766,52563,92154,54763,0,0.1753995323074043
2009-09-30,10000,9911,24031698.86785746,9250,149036337.96135136,14,960,8758943.929693274,6616,257572.1548903046,0.5,1.1,0.1,7.9,58.4,68066,265171,55616,90995,53170,0,0.15327139670922763
2009-10-31,10000,9911,24031698.86785746,9250,149036337.96135136,15,960,8758943.929693274,6616,257572.1548903046,0.5,1.5,0.3,7.8,58.8,68508,265618,55939,89857,53541,0,0.1521839259921201
2009-11-30,10000,9911,24031698.86785746,9250,149036337.96135136,14,960,8758943.929693274,6616,257572.1548903046,0.5,1.9,0.3,7.8,58.9,69062,263299,57265,88696,53809,0,0.19062695864935025
2009-12-31,10000,9911,24031698.86785746,9250,149036337.96135136,23,960,8758943.929693274,6616,257572.1548903046,0.5,2.9,0.3,7.7,59.3,81230,263818,58008,87851,53670,0,0.2755454804016788
2010-01-31,10000,9911,24031698.86785746,9250,149036337.96135136,16,960,8758943.929693274,6616,257572.1548903046,0.5,3.5,0.8,7.9,59.1,76357,264824,46526,81412,58773,0,0.41378605203733315
2010-02-28,10000,9911,24031698.86785746,9250,149036337.96135136,13,960,8758943.929693274,6616,257572.1548903046,0.5,3.0,0.8,8.0,59.3,77062,266164,47866,81443,58741,0,0.377232656604584
2010-03-31,10000,9911,24031698.86785746,9250,149036337.96135136,18,960,8758943.929693274,6616,257572.1548903046,0.5,3.4,0.8,8.0,59.3,78067,267539,49160,80308,58455,0,0.443519331300381
2010-04-30,10000,9911,24031698.86785746,9250,149036337.96135136,18,960,8758943.929693274,6616,257572.1548903046,0.5,3.7,1.1,7.9,60.0,78372,267541,50241,79696,58114,0,0.4133128600703282
2010-05-31,10000,9911,24031698.86785746,9250,149036337.96135136,11,960,8758943.929693274,6616,257572.1548903046,0.5,3.4,1.1,7.9,60.3,79024,266829,49996,79027,56993,0,0.3625151872381047
2010-06-30,10000,9911,24031698.86785746,9250,149036337.96135136,29,960,8758943.929693274,6616,257572.1548903046,0.5,3.2,1.1,7.8,60.6,78164,267469,49519,77199,56511,0,0.2878885656699024
2010-07-31,10000,9911,24031698.86785746,9250,149036337.96135136,16,960,8758943.929693274,6616,257572.1548903046,0.5,3.1,0.6,7.8,61.2,77010,267105,48689,76993,56408,0,0.30984002625919344
2010-08-31,10000,9911,24031698.86785746,9250,149036337.96135136,13,960,8758943.929693274,6616,257572.1548903046,0.5,3.1,0.6,7.8,61.2,78071,268514,47345,76187,56387,0,0.30984002625919344
2010-09-30,10000,9911,24031698.86785746,9250,149036337.96135136,18,960,8758943.929693274,6616,257572.1548903046,0.5,3.1,0.6,7.9,61.1,78703,270053,46751,75540,56209,0,0.353782167785804
2010-10-31,10000,9911,24031698.86785746,9250,149036337.96135136,11,960,8758943.929693274,6616,257572.1548903046,0.5,3.2,0.1,7.9,60.4,93143,269273,46925,75184,56176,0,0.41964889371606967
2010-11-30,10000,9911,24031698.86785746,9250,149036337.96135136,9,960,8758943.929693274,6616,257572.1548903046,0.5,3.3,0.1,7.9,59.7,98501,272210,46127,73439,56279,0,0.4412482148164025
2010-12-31,10000,9911,24031698.86785746,9250,149036337.96135136,13,960,8758943.929693274,6616,257572.1548903046,0.5,3.7,0.1,7.9,59.6,105537,272710,41696,73516,53114,1,0.5102759295793975
2011-01-31,10000,9911,24031698.86785746,9250,149036337.96135136,11,960,8758943.929693274,6616,257572.1548903046,0.5,4.0,0.2,7.8,59.1,109563,274113,42881,72319,53099,1,0.5068026790575971
2011-02-28,10000,9911,24031698.86785746,9250,149036337.96135136,10,960,8758943.929693274,6616,257572.1548903046,0.5,4.4,0.2,7.8,58.7,108576,275155,47553,71826,52945,1,0.5775641770071368
2011-03-31,10000,9911,24031698.86785746,9250,149036337.96135136,15,960,8758943.929693274,6616,257572.1548903046,0.5,4.0,0.2,7.7,58.5,108915,275584,48277,71224,52664,0,0.46215067364626833
2011-04-30,10000,9911,24031698.86785746,9250,149036337.96135136,8,960,8758943.929693274,6616,257572.1548903046,0.5,4.5,0.0,7.8,59.4,108419,275950,46157,71070,52238,1,0.6077642878845377
2011-05-31,10000,9911,24031698.86785746,9250,149036337.96135136,18,960,8758943.929693274,6616,257572.1548903046,0.5,4.5,0.0,7.9,59.1,108597,277421,47040,70030,52092,1,0.6551853354519057
2011-06-30,10000,9911,24031698.86785746,9250,149036337.96135136,17,960,8758943.929693274,6616,257572.1548903046,0.5,4.2,0.0,8.0,59.2,107426,278182,49334,69815,51869,1,0.6522475594370079
2011-07-31,10000,9911,24031698.86785746,9250,149036337.96135136,16,960,8758943.929693274,6616,257572.1548903046,0.5,4.4,0.2,8.2,60.0,108473,278915,50940,69324,51843,1,0.7425077142889785
2011-08-31,10000,9911,24031698.86785746,9250,149036337.96135136,19,960,8758943.929693274,6616,257572.1548903046,0.5,4.5,0.2,8.3,60.0,108190,279499,52939,69178,51580,1,0.7897257389335293
2011-09-30,10000,9911,24031698.86785746,9250,149036337.96135136,11,960,8758943.929693274,6616,257572.1548903046,0.5,5.2,0.2,8.4,59.9,109924,279683,50846,68455,51497,1,0.8809984947816109
2011-10-31,10000,9911,24031698.86785746,9250,149036337.96135136,14,960,8758943.929693274,6616,257572.1548903046,0.5,5.0,0.1,8.5,59.2,109838,278283,51719,68027,51197,1,0.8926280724579142
2011-11-30,10000,9911,24031698.86785746,9250,149036337.96135136,17,960,8758943.929693274,6616,257572.1548903046,0.5,4.8,0.1,8.4,59.2,108688,278965,52126,67808,50855,1,0.8563176877905395
2011-12-31,10000,9911,24031698.86785746,9250,149036337.96135136,14,960,8758943.929693274,6616,257572.1548903046,0.5,4.2,0.1,8.3,59.0,111103,279964,51620,67256,50555,1,0.7655509195188478
2012-01-31,10000,9911,24031698.86785746,9250,149036337.96135136,16,960,8758943.929693274,6616,257572.1548903046,0.5,3.6,0.9,8.3,58.6,113190,281880,55572,64942,50379,1,0.6174361498023142
2012-02-29,10000,9911,24031698.86785746,9250,149036337.96135136,12,960,8758943.929693274,6616,257572.1548903046,0.5,3.4,0.9,8.2,58.4,113130,283373,50454,64413,50012,1,0.5377829606140146
2012-03-31,10000,9911,24031698.86785746,9250,149036337.96135136,24,960,8758943.929693274,6616,257572.1548903046,0.5,3.5,0.9,8.2,58.6,114807,284798,51196,64526,50215,1,0.5534081137562832
2012-04-30,10000,9911,24031698.86785746,9250,149036337.96135136,22,960,8758943.929693274,6616,257572.1548903046,0.5,3.0,-0.1,8.1,59.3,114056,285965,51930,63457,49845,1,0.5091328866990892
2012-05-31,10000,9911,24031698.86785746,9250,149036337.96135136,16,960,8758943.929693274,6616,257572.1548903046,0.5,2.8,-0.1,8.0,59.4,113532,286471,49357,63183,49663,0,0.42578085151419937
2012-06-30,10000,9911,24031698.86785746,9250,149036337.96135136,16,960,8758943.929693274,6616,257572.1548903046,0.5,2.4,-0.1,8.0,60.0,114678,285325,47812,62737,50273,0,0.35658188476275154
2012-07-31,10000,9911,24031698.86785746,9250,149036337.96135136,15,960,8758943.929693274,6616,257572.1548903046,0.5,2.6,1.0,7.9,60.3,115828,287030,47262,62176,49950,0,0.25440044239622905
2012-08-31,10000,9911,24031698.86785746,9250,149036337.96135136,11,960,8758943.929693274,6616,257572.1548903046,0.5,2.5,1.0,7.8,60.3,117408,286378,48101,61904,49807,0,0.20759087477592167
2012-09-30,10000,9911,24031698.86785746,9250,149036337.96135136,14,960,8758943.929693274,6616,257572.1548903046,0.5,2.2,1.0,7.8,60.1,116176,285576,50329,61953,50076,0,0.17657182175249408
2012-10-31,10000,9911,24031698.86785746,9250,149036337.96135136,27,960,8758943.929693274,6616,257572.1548903046,0.5,2.7,-0.1,7.8,59.7,115949,284741,52314,61233,49797,0,0.31706285422783437
2012-11-30,10000,9911,24031698.86785746,9250,149036337.96135136,25,960,8758943.929693274,6616,257572.1548903046,0.5,2.7,-0.1,7.8,59.7,117752,282450,53054,60802,49618,0,0.31706285422783437
2012-12-31,10000,9911,24031698.86785746,9250,149036337.96135136,12,960,8758943.929693274,6616,257572.1548903046,0.5,2.7,-0.1,7.8,59.6,118296,280146,54557,61704,49970,0,0.31766673929930034
2013-01-31,10000,9911,24031698.86785746,9250,149036337.96135136,23,960,8758943.929693274,6616,257572.1548903046,0.5,2.7,0.3,8.0,59.2,118314,276394,52210,62568,42847,0,0.3742059467334094
2013-02-28,10000,9911,24031698.86785746,9250,149036337.96135136,16,960,8758943.929693274,6616,257572.1548903046,0.5,2.8,0.3,7.8,59.2,119381,272996,52589,62390,43206,0,0.30219668079754336
2013-03-31,10000,9911,24031698.86785746,9250,149036337.96135136,19,960,8758943.929693274,6616,257572.1548903046,0.5,2.8,0.3,7.8,59.5,120160,271335,54528,61952,43304,0,0.30043620266313126
2013-04-30,10000,9911,24031698.86785746,9250,149036337.96135136,16,960,8758943.929693274,6616,257572.1548903046,0.5,2.4,0.7,7.7,60.1,121325,268105,56014,61912,43337,0,0.18481054856799395
2013-05-31,10000,9911,24031698.86785746,9250,149036337.96135136,25,960,8758943.929693274,6616,257572.1548903046,0.5,2.7,0.7,7.7,60.4,121300,265147,59137,61966,43574,0,0.2164226157319521
2013-06-30,10000,9911,24031698.86785746,9250,149036337.96135136,14,960,8758943.929693274,6616,257572.1548903046,0.5,2.9,0.7,7.7,61.0,122943,261041,58885,61598,43941,0,0.23755131383808537
2013-07-31,10000,9911,24031698.86785746,9250,149036337.96135136,31,960,8758943.929693274,6616,257572.1548903046,0.5,2.8,0.8,7.7,61.6,125572,258826,60737,61881,45341,0,0.21593646052832646
