Customer_ID,Age,Income,Housing_Status,Has_Current_Account,Current_Account_Balance,Has_Savings,Savings_Balance,Has_Mortgage,Has_Personal_Loan,Personal_Loan_Balance,Has_Credit_Card,Credit_Card_Balance
1,41,14125.997385468649,Rent,1,859.5096831541,1,1595.0212590976676,0,0,0.0,0,0.0
2,73,47431.17346577462,Own,1,2516.6872022682282,1,33006.83284528007,0,0,0.0,1,38.648635708951424
3,70,64926.99309058754,Own,1,3106.649624728032,1,42589.48676283973,0,0,16.636489247543267,1,0.0
4,70,85561.55737089721,Own,1,4860.732217148336,1,46134.62050905903,1,1,4587.016318091894,1,43.17359857539046
5,65,41367.25786624642,Own,1,1616.557768028424,1,34509.92335490148,0,0,0.8082209887429501,1,23.89359969680784
6,41,21134.30678633558,Rent,1,1315.212980565972,1,2053.1020651478875,0,0,3.49519862307672,0,4.552391939757184
7,43,18163.658021900934,Mortgage,1,1214.287039118191,1,2686.61124122006,0,0,0.0,0,2.5337309036099027
8,74,62856.232935226246,Own,1,3542.634902750414,1,40337.86160155931,0,0,3.352225134565302,1,0.0
9,65,59383.03730848729,Own,1,2556.2706017786704,1,10459.749015448362,0,0,1.560587316733908,1,0.0
10,69,59975.85805141936,Own,1,2274.8307814911404,1,37067.9997284776,0,0,0.3925092516055225,1,0.0
11,43,32647.340473023298,Mortgage,1,1467.1351203569566,1,3299.2203179358817,0,0,0.16397560805363956,1,8.811866207430747
12,28,7883.196293437182,Rent,1,735.0702411920242,0,125.16557189916284,0,0,0.4177609437129052,0,0.0
13,33,15457.104185600729,Rent,1,707.1939132631592,1,1185.6242541296037,0,0,4.9018041230475555,0,0.0
14,49,19412.61044474168,Mortgage,1,923.2253727560274,1,2832.9975242655446,0,0,0.168585724243531,0,9.827110531136418
15,60,35753.696618694696,Mortgage,1,2690.149604632495,1,8530.782031728037,1,0,1.5204966634630261,1,0.0
16,76,68863.3826649436,Own,1,4427.401892459837,1,39828.85884813792,0,1,6385.008428766143,1,0.0
17,30,19930.057999518234,Rent,1,521.110080201652,1,1477.5328572716112,0,0,0.10372922312998087,0,3.1476389681932897
18,45,18334.050391282595,Rent,1,850.7955536559142,1,2226.02460262587,0,0,0.0,0,0.0
19,70,78716.97281344036,Own,1,2340.9658947620937,1,33974.640667583895,0,0,4.598514672188002,1,57.426023721345075
20,47,37794.15769466132,Mortgage,1,1158.0460767770564,1,4062.15950025868,0,0,0.8907269691632935,1,0.0
21,67,48028.456534905694,Own,1,2738.7059527694255,1,8190.004212803248,1,0,0.0,1,0.0
22,43,14344.526842386731,Rent,1,949.5530392167706,1,1952.6814626644236,0,0,1.4064926567242058,0,6.828100649486741
23,68,39085.96776823367,Own,1,2188.310230426971,1,0.0,0,0,0.553518378913801,1,0.0
24,66,86594.31946711292,Own,1,4761.912395448232,1,42003.49829122197,0,0,3.7067583428118698,1,4.721419784170055
25,64,68347.02704420565,Own,1,2961.810870549512,1,40114.49276916815,0,0,1.7189261601118773,1,0.0
26,33,17088.61376616386,Rent,1,528.123283358154,1,335.25726185999747,0,0,3.735104632495036,0,14.542639185439018
27,50,21274.94408188739,Mortgage,1,1635.858224632227,1,2818.707723221923,0,0,0.2630898300948703,1,0.0
28,35,9285.558572408812,Rent,1,232.79508405285935,0,0.0,0,0,2.4713404196088855,0,0.0
29,37,28919.317915982178,Rent,1,21534.434996638254,1,2796.8823316452113,0,0,2.9676117709676233,1,0.0
30,35,9676.39964762278,Rent,1,585.6035875676672,1,1326.4271832097443,0,0,0.35464701084253203,0,0.0
31,51,26551.210710171395,Mortgage,1,1170.964810108781,1,4637.557850785817,1,0,0.0,1,8.150258263708759
32,39,6144.114008313045,Rent,1,505.360495914966,1,735.6244203174788,0,0,2.6755386300940116,0,0.0
33,84,94665.30238106569,Own,1,2592.5453980840407,1,74287.31342740035,1,1,8673.526821251373,1,0.0
34,55,26775.279429481212,Mortgage,1,1691.6654941016777,1,4147.434058411745,1,0,1.8403711656595225,1,0.0
35,57,120206.57741846071,Mortgage,1,1731.082447268217,1,8745.95635662692,0,0,0.0,1,0.0
36,57,43523.71441842759,Mortgage,1,2251.3807934042306,1,5034.1105874891055,1,0,0.0,1,0.0
37,46,24757.629336762944,Mortgage,1,1085.7000639827775,1,3437.754597601438,0,0,0.0,1,2.217276792352684
38,46,23790.890962422407,Mortgage,1,1022.0533872570865,1,3258.2612209398867,0,0,5.202536184684776,1,12.25305944991613
39,33,12911.314971803215,Rent,1,536.6968014842298,1,1300.2015360861233,0,0,0.0,0,0.0
40,48,21744.94565968334,Mortgage,1,1634.83416086092,1,3019.805746684543,0,0,0.0,1,0.0
41,37,14013.630582538699,Rent,1,956.55461900441,1,1746.2772758841556,0,0,0.0,0,0.0
42,44,34769.420144742755,Rent,1,953.3669533937256,1,2780.3672720445043,0,0,1.8572538755488013,0,8.499381771274152
43,62,39422.90436418225,Own,1,2056.91630387005,1,8000.898990196632,0,0,4.602884938778221,1,0.0
44,68,61960.29486711715,Own,1,2698.1191400124035,1,42199.631564248455,0,0,0.7057067732008324,1,0.0
45,46,23674.605359808964,Rent,1,1204.9350936933588,1,1232.7747939627332,0,0,4.202106388895054,0,0.0
46,46,35737.544184612256,Mortgage,1,1245.4190237626572,1,2616.1600309388027,0,0,0.8764375370226594,1,0.0
47,56,38454.725536775426,Mortgage,1,1792.212028552506,1,5296.703737404364,1,0,4.791765543436254,1,7.330125850581186
48,65,41731.55413684472,Own,1,2853.121079751531,1,7682.55555531358,0,0,0.0,1,0.0
49,42,79793.83088497608,Mortgage,1,1068.726326704191,1,922.6952689646025,0,0,0.7505099207494026,1,0.0
50,41,21378.4808392706,Rent,1,980.4619458554951,1,3628.9525922388766,0,0,0.5864787700242104,1,0.0
51,28,525.5206015037594,Rent,1,21.529102863281764,1,16.108803176042784,0,0,1.1330893799661519,0,0.0
52,38,21793.773576070664,Rent,1,863.1338548271787,0,0.0,0,0,1.324392201176863,0,0.0
53,34,8522.414225902718,Rent,1,685.4948777148539,1,886.249185312576,0,0,1.6360048523350488,0,4.461163808827394
54,86,96738.4784541642,Own,1,6156.84297754607,1,76721.69319549383,1,1,7258.943922718396,1,0.0
55,66,51984.071867818435,Own,1,1737.8963191739858,1,8310.654920011113,0,0,0.37109602453610335,1,0.0
56,39,11857.817734197166,Rent,1,725.214510774814,1,1464.9691177626064,0,0,1.4768321315085715,0,0.0
57,42,19369.309679111844,Rent,1,985.5640430733798,0,41.51892282245581,0,0,2.559842610230681,0,0.0
58,64,53845.35425871494,Own,1,1808.514474656441,1,8464.363863905917,1,0,1.6035910786932117,1,0.0
59,67,42762.98152900614,Own,1,2455.9221825467844,1,8501.559674360387,0,0,1.487526424064027,1,44.49974517196734
60,35,12132.057749017795,Rent,1,855.116818570206,1,1161.4344410511972,0,0,2.170397225719339,0,8.942670262037431
61,57,27048.897440308046,Mortgage,1,1797.1523341214547,1,7859.038335378958,1,0,0.0,1,0.0
62,74,52712.82076433799,Own,1,3103.5855924460243,1,39471.61062028789,0,0,0.032405490492977834,1,31.688348854460347
63,72,80381.43586902453,Own,1,4145.084100566171,1,41198.34417249677,1,1,5648.788584076179,1,0.0
64,40,20433.73433694323,Rent,1,1190.55668800182,1,2438.835191263706,0,0,0.236783545626564,0,1.2451867274977027
65,55,30421.28165837852,Mortgage,1,1271.8253855342816,1,4121.963541116793,0,0,1.5355113195772019,1,0.0
66,40,23496.980869504874,Rent,1,736.3060522313417,1,2126.769869210527,0,0,4.484239823851498,0,0.0
67,69,69067.3952755511,Own,1,3413.6435556595957,1,34206.86052340665,0,0,2.176162400126269,1,32.44000607042091
68,50,35730.6706585119,Mortgage,1,1740.6418716296862,1,4582.236863374429,1,0,1.3429828479573227,1,0.0
69,36,14660.771942289084,Rent,1,989.1434900869668,1,2719.8760543907956,0,0,2.8842435334372643,1,0.0
70,44,26811.581384837118,Mortgage,1,1022.5217814532464,0,38.61835840329422,0,0,2.4082421851785973,1,0.0
71,64,65994.39520709797,Own,1,2205.813303520817,1,37509.96085771639,0,0,1.8874991161643448,1,16.47110308125125
72,46,23202.214371137175,Mortgage,1,1011.580369749888,1,2505.8899229726553,0,0,2.887585154062078,1,29.34137741271085
73,45,31243.537960386366,Mortgage,1,1235.7345728043526,1,3349.190016021338,0,0,3.083010513191551,1,0.0
74,63,36637.16544610452,Mortgage,1,1327.529180074092,0,0.0,1,0,0.0,1,0.0
75,42,18972.845804146506,Rent,1,793.5082075504939,1,1988.3849263026977,0,0,3.2266280414483743,0,1.0625846288644496
76,41,9246.66655947579,Rent,1,378.63034967339104,1,958.6824084244199,0,0,1.7487053407103372,0,0.0
77,60,33973.24989903534,Mortgage,1,1981.2539709163138,1,8627.644188323997,1,0,0.0,1,0.0
78,48,23768.61997580374,Mortgage,1,1395.364059527382,1,3338.687722878102,0,0,1.869561956952186,1,14.65560724512004
79,67,45290.94909001918,Own,1,1839.333491752424,1,9092.97178147012,0,0,2.282333695017219,1,0.0
80,65,44658.78843952518,Mortgage,1,1853.3865006977114,1,8185.792810698723,1,0,1.323346355850279,1,0.0
