Date,Month_year,YEAR,"Monthly amounts outstanding of monetary financial institutions' sterling net lending  to household sector (in sterling millions) seasonally adjusted  						[a] [b] [c] [d] [e] [f] [g] [h] [i] [j] [k] [l] 						LPMBC44","Monthly amounts outstanding of monetary financial institutions' sterling consumer credit lending excluding securitisations to individuals (in sterling millions) seasonally adjusted  						[a] [m] [n] [o] [p] [q] [r] [s] [d] [e] [f] [g] [j] [t] [l] 						LPMBC46","Monthly amounts outstanding of monetary financial institutions' sterling net credit card lending to individuals (in sterling millions) seasonally adjusted  						[a] [n] [u] [o] [v] [s] [e] [w] [g] 						LPMBC53","Monthly amounts outstanding of monetary financial institutions' sterling consumer credit (excluding credit card) excluding securitisations to individuals (in sterling millions) seasonally adjusted  						[x] [a] [m] [n] [y] [q] [z] [r] [r] [d] [1] [t] [l] 						LPMBC54","Monthly amounts outstanding of monetary financial institutions' sterling net secured lending to individuals (in sterling millions) seasonally adjusted  						[a] [m] [n] [2] [3] [4] [5] [6] [6] [c] [h] [i] [j] 						LPMBC55","Monthly amounts outstanding of monetary financial institutions' sterling net lending to other financial corporations (in sterling millions) seasonally adjusted  						[7] [a] [n] [3] [8] [9] [10] [11] [12] [13] [14] [15] [16] [16] [17] [17] [18] [19] [20] [21] [22] [23] [24] [25] [25] [26] [27] [28] [29] [29] [30] [31] [32] [33] [34] [35] [36] [k] [37] 						LPMBC56","Monthly amounts outstanding of monetary financial institutions' sterling net lending to private non-financial corporations (in sterling millions) seasonally adjusted  						[a] [38] [n] [39] [3] [40] [41] [42] [43] [44] [45] [46] [47] [48] [49] [28] [50] [50] [51] [52] [53] [54] [55] 						LPMBC57","Monthly amounts outstanding of monetary financial institutions' sterling net lending to unincorporated businesses and non-profit institutions serving households (in sterling millions) seasonally adjusted  						[a] [56] 						LPMBC58","Monthly amounts outstanding of monetary financial institutions' sterling Overdrafts and transit and suspense items with individuals (in sterling millions) seasonally adjusted  						[57] [l] 						LPMZ5G6","Monthly amounts outstanding of monetary financial institutions' sterling net consumer credit loans (excluding credit card and overdrafts) excluding securitisations to individuals (in sterling millions) seasonally adjusted  						[a] [57] [d] [1] [t] 						LPMZ5G7","Monthly amounts outstanding of monetary financial institutions' sterling loans  to private non-financial corporations (in sterling millions) seasonally adjusted  						[a] [58] [59] [3] [40] [41] [42] [43] [44] [46] [50] [50] [51] [52] [53] [54] [55] 						LPMZ5MO","Monthly amounts outstanding of monetary financial institutions' sterling holdings of securities issued by private non-financial corporations (in sterling millions) seasonally adjusted  						[38] [58] [59] [47] [28] 						LPMZ5MS"
31-Dec-08,Dec-08,08,1285947,151409,53692,97717,1084544,947756,506258,49993,12372,85345,492451,13806
30-Nov-08,Nov-08,08,1284342,152437,53965,98472,1081902,895133,508090,50003,12320,86153,492756,15334
31-Oct-08,Oct-08,08,1281112,153094,53894,99200,1077822,873881,512501,50196,12133,87067,495525,16976
30-Sep-08,Sep-08,08,1278389,156101,56534,99567,1073928,823661,515722,48359,11859,87708,492517,23205
31-Aug-08,Aug-08,08,1274362,155640,55432,100208,1070549,795026,516424,48173,12070,88138,488738,27685
31-Jul-08,Jul-08,08,1272564,155583,54977,100606,1068940,763916,515634,48041,12190,88417,487425,28209
30-Jun-08,Jun-08,08,1265476,155645,54955,100691,1062011,730318,514697,47820,11935,88756,484496,30201
31-May-08,May-08,08,1260576,156767,55211,101556,1056457,689090,510059,47352,12131,89425,480996,29062
30-Apr-08,Apr-08,08,1254662,156161,54404,101756,1051421,698098,508229,47081,12055,89701,478836,29393
31-Mar-08,Mar-08,08,1248172,156415,54471,101945,1045286,664293,500701,46471,12102,89843,473167,27534
29-Feb-08,Feb-08,08,1240932,156456,54375,102081,1038577,655111,499180,45898,12089,89992,466461,32719
31-Jan-08,Jan-08,08,1232331,155830,54232,101598,1030877,652590,489686,45624,11670,89928,455814,33873
31-Dec-09,Dec-09,09,1298773,141521,53670,87851,1108720,912558,492072,48532,11600,76251,472900,19172
30-Nov-09,Nov-09,09,1297284,142505,53809,88696,1106108,926622,491182,48671,11746,76950,471993,19189
31-Oct-09,Oct-09,09,1294896,143397,53541,89857,1102883,943150,492476,48616,11765,78092,474345,18132
30-Sep-09,Sep-09,09,1294441,144165,53170,90995,1101646,913668,492452,48630,12086,78909,475612,16840
31-Aug-09,Aug-09,09,1294947,146917,54763,92154,1099310,886727,495219,48721,11878,80276,480010,15209
31-Jul-09,Jul-09,09,1294672,147884,54751,93133,1097781,883109,495668,49007,12061,81072,480159,15509
30-Jun-09,Jun-09,09,1293340,148364,54745,93619,1095872,885851,503782,49104,12098,81521,488234,15548
31-May-09,May-09,09,1292295,149198,55155,94044,1093844,902808,505921,49253,12222,81822,490600,15321
30-Apr-09,Apr-09,09,1290267,148476,53921,94554,1092418,900679,504826,49374,11983,82571,490247,14579
31-Mar-09,Mar-09,09,1289194,148714,53582,95132,1090922,1015149,508559,49558,12147,82985,494689,13871
28-Feb-09,Feb-09,09,1288698,149835,53886,95949,1089010,991058,509431,49853,12086,83863,495929,13503
31-Jan-09,Jan-09,09,1287741,151127,53880,97247,1086822,961033,507321,49793,12551,84695,495281,12041
